ds,pt,m,rank,q0,q1,q2,q3,q4
ground,sway,Months-,7,10.231611836078,15.8245820865261,19.0277672944134,25.2905327972106,34.4195909724246
ground,Random1024,Risks-,1,0.0,0.0,0.0,0.536193029490617,1.07238605898123
ground,Random300,Risks-,1,0.0,0.0,0.0,0.536193029490617,0.804289544235925
ground,moead,Risks-,2,0.0,0.0,0.268096514745308,0.536193029490617,0.536193029490617
ground,random,Risks-,3,0.0,0.0,0.536193029490617,1.07238605898123,1.34048257372654
ground,tpe,Risks-,3,0.0,0.0,0.536193029490617,0.536193029490617,1.34048257372654
ground,nsga-ii,Risks-,3,0.0,0.0,0.536193029490617,0.536193029490617,1.34048257372654
ground,nsga-iii,Risks-,3,0.0,0.0,0.536193029490617,0.536193029490617,1.34048257372654
ground,sway,Risks-,4,0.0,0.804289544235925,1.34048257372654,2.14477211796247,2.94906166219839
isbsg10,random150,Delta+,2,0.0195646794252922,0.135723557733102,0.212401166645701,0.308259189311979,0.761361386446452
isbsg10,moead,Delta+,2,0.0076150337526653,0.0992874630920672,0.220683053860301,0.287129233995917,0.878410407024753
isbsg10,nsga-iii,Delta+,2,0.0070793850818538,0.10515895657868,0.221268063827461,0.339711539096095,0.885885698965455
isbsg10,tpe,Delta+,2,0.0104958036097617,0.120751798660773,0.228556320477146,0.341442695404485,0.600352473082012
isbsg10,sway,Delta+,2,0.042120169243209,0.140903687441113,0.242442658144297,0.310357023535061,0.83508629204674
isbsg10,random60,Delta+,2,0.031643829888733,0.133891047687682,0.252823996718658,0.309144294167441,0.825319513201626
isbsg10,nsga-ii,Delta+,2,0.047541921661817,0.157478884602557,0.260165534364141,0.332251988916178,0.688006846531641
isbsg10,default,Delta+,1,0.001724300734109,0.275658042231419,0.348971008013602,0.396924987058243,0.957359475056863
isbsg10,default,Duration,1,0.470999717712402,0.478003025054932,0.487000703811646,0.503422021865845,0.597859144210815
isbsg10,random,Duration,2,1.9660005569458,1.98856997489929,2.0099983215332,2.18970441818237,2.31599998474121
isbsg10,sway,Duration,3,63.2112863063812,63.7445683479309,64.1987376213074,65.3062236309052,68.6929206848145
isbsg10,nsga-iii,Duration,4,76.3457179069519,80.2323672771454,80.6639940738678,82.3745460510254,87.7577877044678
isbsg10,nsga-ii,Duration,5,79.0848941802979,80.4665386676788,81.2973575592041,83.2451748847961,87.9813923835754
isbsg10,tpe,Duration,6,89.8458316326141,91.2472767829895,92.4093463420868,93.7347416877747,96.2817053794861
isbsg10,moead,Duration,7,112.303447961807,117.348417758942,118.932987928391,121.5579662323,128.695812225342
isbsg10,default,MAR-,1,1240.31166666667,1712.88666666667,2073.93461538462,2499.68916666667,3259.32615384615
isbsg10,nsga-ii,MAR-,2,1253.70563928312,2235.9069512388,2508.29506666667,2783.03439814815,3605.83615601672
isbsg10,random60,MAR-,2,1719.8462962963,2088.60047619048,2515.68037960635,3046.66666666667,3308.536
isbsg10,nsga-iii,MAR-,2,1705.37856919234,2045.01202865762,2530.79565105681,2734.55074786325,3373.92521207438
