pt,m,mean,std,rank,median,iqr
random300,Pred25+,0.16143616381694437,0.031504089207833416,,,
sway,Pred25+,0.17121866422061208,0.03445387742593175,,,
tpe,Pred25+,0.1674843084914508,0.03401243524449488,,,
nsga-ii,Pred25+,0.17807929751512463,0.02261092566452282,,,
nsga-iii,Pred25+,0.1571521329114576,0.02524831110785106,,,
moead,Pred25+,0.18777934664234358,0.022403628289487002,,,
default,Pred40+,0.3022972986900553,0.03772775641213955,1.0,0.301204819277108,0.048192771084337005
random60,Pred40+,0.2880057441055927,0.03067171987590813,1.0,0.301204819277108,0.048192771084338004
random150,Pred40+,0.2942737588506291,0.029112615566555304,1.0,0.301204819277108,0.028244715388499986
random300,Pred40+,0.2687688306691265,0.04383914257759295,2.0,0.263473053892216,0.054216867469879026
sway,Pred40+,0.27139352963608065,0.04684421897815584,2.0,0.289156626506024,0.073659909097467
tpe,Pred40+,0.26825351019132126,0.04905248106695516,2.0,0.27710843373494,0.088485679243922
nsga-ii,Pred40+,0.2839948330533425,0.04421517358386962,2.0,0.283132530120482,0.04977995815597702
nsga-iii,Pred40+,0.2602007688581528,0.045213167278076,2.0,0.271084337349398,0.07831325301204803
moead,Pred40+,0.298568096165672,0.027242182370369745,1.0,0.301204819277108,0.028208642955054042
