Iteration,PT,Duration?,MAR-,SA+,SdAR-,SD+,Delta+,MMRE-,MdMRE-,Pred25+,Pred40+
0,default,1.27600002288818,3186.30173652695,0.424068716312375,4582.69856475431,0.407662979140384,0.302952301147084,2.07129795240309,0.704247939333993,0.161676646706587,0.275449101796407
0,random60,8.76125383377075,3593.02550541137,0.350552470303859,4945.27016891074,0.359892694649828,0.251722193793057,4.05485443879596,0.908072325331175,0.131736526946108,0.233532934131737
0,random150,15.4833424091339,3508.76356622224,0.365783007401737,4861.01093518742,0.372889377313065,0.261367333585999,2.80447763905013,0.740233122528201,0.143712574850299,0.263473053892216
0,random300,29.0107328891754,3412.02409183604,0.383268887357112,4587.60675499752,0.408048331686668,0.275931872403106,2.47530332500919,0.749530075389072,0.149700598802395,0.263473053892216
0,sway,85.7966828346252,3761.79624167539,0.320046775983964,5084.16959868315,0.33891948661698,0.229154058612324,4.05392282725781,0.945757163068225,0.119760479041916,0.221556886227545
0,tpe,183.428014278412,3368.74656326202,0.391091399048559,4698.16870072882,0.391375737845351,0.280361215930921,2.50489558541459,0.719430934932267,0.167664670658683,0.287425149700599
0,nsga-ii,240.416431427002,3403.3406141615,0.384838445690724,4559.5626537647,0.409242595143213,0.276495325945642,2.59114687150977,0.719519325889695,0.149700598802395,0.275449101796407
0,nsga-iii,238.625861883163,3429.67483819265,0.380078474820009,4646.17302434018,0.397697486611906,0.271338790857343,2.52057803978528,0.755486359561699,0.149700598802395,0.251497005988024
0,moead,233.197167396545,3377.90882621965,0.389435299186396,4584.13232025752,0.406140125509881,0.2792321161931,2.47492237090361,0.742837260826828,0.155688622754491,0.281437125748503
1,default,1.24400115013123,2409.42397590361,0.352767248509892,3046.10018053222,0.415424072162417,0.252565569893696,1.4639462183747,0.656676967037923,0.210843373493976,0.295180722891566
1,random60,6.11770153045654,2451.97571162782,0.341336766673199,3261.94493741615,0.373471632752321,0.244999525355573,1.96742542563068,0.695201379860945,0.198795180722892,0.301204819277108
1,random150,14.2082581520081,2269.65217964997,0.39031351897731,3023.24364483655,0.418598934948692,0.278414280799816,1.43575482874708,0.617393082608526,0.186746987951807,0.349397590361446
1,random300,29.6014742851257,2924.04342133673,0.214527335995917,3046.21759296626,0.415430332146229,0.153842568143404,2.9675967280254,0.982746757391846,0.126506024096386,0.210843373493976
1,sway,101.499513626099,2950.23647757366,0.20749121282801,3065.37279867695,0.410482953995199,0.148642843994372,3.0351115742178,1.02781298397377,0.144578313253012,0.210843373493976
