Iteration,PT,Duration?,MAR-,SA+,SdAR-,SD+,Delta+,MMRE-,MdMRE-,Pred25+,Pred40+
0,default,0.967000246047974,2454.71230769231,0.350239043949503,2624.00732806831,0.296095023221128,0.352923256817601,1.17082273604829,0.565055370985603,0.230769230769231,0.230769230769231
0,sway,87.6242370605469,2628.27110042735,0.304298129918519,3183.26695661957,0.154414952990545,0.309195770600759,2.30311069444394,0.53427886051374,0.0769230769230769,0.461538461538462
0,tpe,152.229650735855,2490.36688884258,0.340801296534793,2731.79055490962,0.275721725374001,0.341442695404485,1.4921344866312,0.489213233857493,0.0769230769230769,0.384615384615385
0,nsga-ii,94.2731444835663,2638.29939668175,0.301643645585916,3245.98903214463,0.134784288737978,0.304648098886708,2.18345445671391,0.511928750419799,0.0769230769230769,0.461538461538462
0,nsga-iii,152.016829490662,2637.58833333333,0.301831863651077,3241.40997171182,0.135075790029606,0.305784597416536,2.19193876580299,0.518018225735617,0.0769230769230769,0.461538461538462
0,moead,6.77268695831299,2631.8031517094,0.303363197946795,3204.89688425698,0.148030103770566,0.309746133414032,2.26096674923546,0.543095424773852,0.0769230769230769,0.461538461538462
1,default,1.001460313797,2186.83166666667,0.322741005832659,1852.47938276351,0.52021009883762,0.269472869338259,1.7630995153736,1.61244704737919,0.0833333333333333,0.0833333333333333
1,sway,88.9918887615204,2997.16151701179,0.0717828787148827,1880.08866856453,0.51209930647328,0.0598695237469187,3.21735849975236,2.1949798928053,0,0.0833333333333333
1,tpe,152.354075431824,2928.41133333333,0.0930747234218268,2001.6477743285,0.485129600972488,0.0785071178282065,3.05882972325599,2.09694087144983,0,0
1,nsga-ii,63.7985987663269,2971.20533333333,0.0798214758865128,1953.53077154526,0.495554881647279,0.0669175779521031,3.16038933481139,2.1853193937093,0,0
1,nsga-iii,144.624013662338,3049.47333333333,0.0555819755338003,1869.93015404914,0.516151622664664,0.0465455803215993,3.34613658155667,2.3469591137683,0,0.0833333333333333
1,moead,6.86909174919128,3022.32733333333,0.0639890573114709,1898.24624175322,0.506833812531906,0.0533403542545941,3.28171312931377,2.29089697035437,0,0.0833333333333333
2,default,0.979498386383057,1240.31166666667,0.448644864140669,1414.95708056719,0.52077037443906,0.343003539998535,1.40044928028109,0.859398676027139,0.166666666666667,0.25
2,sway,87.387003660202,2569.26973929236,-0.14211621501059,1534.22890125924,0.4857912198775,0.109164806415087,7.68436810563932,1.72904595825089,0.0833333333333333,0.0833333333333333
2,tpe,155.032778739929,1783.09722605173,0.207360666079779,1535.33537192718,0.487277060684892,0.156420280459889,4.58986280467683,0.781137872671314,0,0.25
2,nsga-ii,95.5256912708282,1253.70563928312,0.442690848073492,1620.9842439525,0.45889811701649,0.332251988916178,1.71122893980341,0.911139789632738,0.25,0.416666666666667
2,nsga-iii,168.161174297333,2559.31166666667,-0.137689557878359,1539.49938447749,0.47932910976966,0.10515895657868,7.65493058535097,1.71961426516568,0.0833333333333333,0.0833333333333333
2,moead,18.8813679218292,2544.32450980392,-0.131027324400856,1547.45091086942,0.47757649042954,0.0992874630920672,7.61062635592879,1.70541932312594,0.0833333333333333,0.0833333333333333
