Iteration,PT,HV+,GD-,DCI+,UNFR+
0,random search,16220459822.530233,0.08977358323592528,0.0,0.0
0,sway,15186546204.3864,0.24587455405425082,0.11999999999999998,0.0
0,tpe,32092064436.399593,0.06838654199496245,0.6400000000000001,0.0
0,nsga-ii,32249460760.666573,0.06736149871093738,0.6400000000000001,0.0
0,nsga-iii,32760406742.536514,0.027198305028005115,0.6800000000000002,0.0
0,moead,36527811465.8869,0.2618019157753894,0.5199999999999999,0.04081632653061224
1,random search,8846019275.826569,0.054535544901479265,0.4857142857142856,0.02631578947368421
1,sway,5649003077.609783,0.30108473633813393,0.08571428571428569,0.0
1,tpe,9091082549.379673,0.0311248413560796,0.8285714285714285,0.02631578947368421
1,nsga-ii,10641886997.318472,0.038240323969465695,0.5142857142857142,0.05263157894736842
1,nsga-iii,9469328543.504827,0.10651985517797471,0.5142857142857142,0.0
1,moead,9919613072.630121,0.015120370783075848,0.9142857142857141,0.02631578947368421
2,random search,8095286648.212994,0.106981288751854,0.5333333333333332,0.0
2,sway,4899368245.175641,0.20274216286760968,0.06666666666666665,0.0
2,tpe,8335840610.438847,0.14183998869829076,0.5999999999999999,0.0
2,nsga-ii,8447278485.572002,0.1912884661121868,0.6666666666666666,0.0
2,nsga-iii,7865096659.174286,0.18951872075736464,0.9333333333333332,0.03333333333333333
2,moead,8738285648.122793,0.4068805823042672,0.5333333333333332,0.03333333333333333
3,random search,17719427339.539318,0.23374594966789233,0.6000000000000001,0.0
3,sway,9963411274.028393,0.23787744748780656,0.0,0.0
3,tpe,20920974999.559566,0.05072685337938294,0.68,0.0
3,nsga-ii,16981316608.221956,0.04702559731155013,0.8399999999999999,0.0
3,nsga-iii,20399290498.09348,0.01554557302819986,0.8400000000000001,0.09090909090909091
3,moead,20617009285.44791,0.05814909614313867,0.52,0.045454545454545456
4,random search,17909746511.084778,0.13471945307319205,0.6,0.0
4,sway,17362117813.883366,0.4042863661986312,0.2857142857142857,0.0
4,tpe,20136359104.27027,0.020594793293142698,0.7142857142857141,0.0
4,nsga-ii,21384911531.00095,0.08474256015695103,0.857142857142857,0.023255813953488372
4,nsga-iii,21373519247.495304,0.03136925432270556,0.8571428571428571,0.06976744186046512
4,moead,21341438843.253532,0.007193509983924667,0.9428571428571427,0.09302325581395349
5,random search,393571042.54844916,0.20684492184054673,0.0,0.0
5,sway,454538815.97875786,0.3644216867168785,0.26666666666666666,0.0
5,tpe,1105927681.323945,0.10648461574571311,0.39999999999999997,0.022727272727272728
5,nsga-ii,826277173.8475738,0.05250823498889937,0.4666666666666666,0.022727272727272728
5,nsga-iii,1171375895.815525,0.016408319828334437,0.4666666666666666,0.045454545454545456
5,moead,1082716732.6264963,0.01151824736104994,0.5999999999999999,0.11363636363636363
6,random search,26276258906.704975,0.07011612331941122,0.22857142857142854,0.0
6,sway,21157966556.49432,0.16509479376547834,0.0,0.0
6,tpe,35992501240.31906,0.03507999715000775,0.857142857142857,0.01639344262295082
6,nsga-ii,37339695035.44814,0.22542465930381586,0.9142857142857141,0.04918032786885246
6,nsga-iii,31618386975.01868,0.0841156711043728,0.8857142857142857,0.03278688524590164
6,moead,35186228179.050026,0.05109139066719498,0.9428571428571427,0.06557377049180328
7,random search,4107875793.7030997,0.09290723696576315,0.48,0.0
7,sway,1719982756.8353407,0.29004752764966635,0.0,0.0
7,tpe,4532321076.60062,0.06852895598090197,0.76,0.02702702702702703
7,nsga-ii,5116692542.218251,0.04361848599541531,0.8,0.02702702702702703
7,nsga-iii,5403114301.40935,0.0048837113269543184,0.8800000000000001,0.08108108108108109
7,moead,5035204764.885408,0.05308343650250443,0.9199999999999999,0.0
8,random search,1934528989.5993242,0.09904497634757028,0.6249999999999999,0.0
8,sway,238946979.73246062,0.29290138166354773,0.0,0.0
8,tpe,1792850328.0955381,0.0449120856569385,0.7,0.06060606060606061
8,nsga-ii,2097278558.0900989,0.07071903652778391,0.6499999999999999,0.030303030303030304
8,nsga-iii,2220262810.4049335,0.005311655255843805,0.8749999999999999,0.06060606060606061
8,moead,2308429451.3180666,0.0,0.625,0.09090909090909091
9,random search,9668087680.850033,0.21958763171367127,0.3666666666666667,0.0
9,sway,8518070270.008947,0.2856172032920963,0.0,0.0
9,tpe,11720351191.888815,0.029679282172597868,0.7,0.02127659574468085
9,nsga-ii,12434022718.462185,0.06854338370871604,0.9333333333333332,0.0
9,nsga-iii,11259524606.512682,0.05378306171903158,0.5999999999999999,0.02127659574468085
9,moead,13240186551.796469,0.1486173816024297,0.9333333333333332,0.06382978723404255
10,random search,30091657706.569374,0.04668077707244779,0.27499999999999997,0.0
10,sway,16031905949.449156,0.16905373648030414,0.0,0.0
10,tpe,36736016780.29006,0.02325736517958898,0.7249999999999999,0.05357142857142857
10,nsga-ii,35549829590.839,0.041947866940936024,0.7999999999999999,0.0
10,nsga-iii,35431585729.54834,0.021597375219947174,0.8999999999999999,0.05357142857142857
10,moead,40318304078.58108,0.007289590325273376,0.95,0.10714285714285714
11,random search,58891418.910402484,0.13998722799028746,0.0,0.0
11,sway,38046421.015656024,0.2866026750545297,0.0,0.0
11,tpe,160921845.4311362,0.11743982846561385,0.6545454545454545,0.09090909090909091
11,nsga-ii,168298433.26601017,0.09265805432880488,0.45454545454545464,0.06818181818181818
11,nsga-iii,165575250.2165638,0.04542074298234129,0.7454545454545454,0.06818181818181818
11,moead,155730261.81863078,0.052128962083522835,0.7272727272727273,0.06818181818181818
12,random search,765173911.607786,0.23230849836000844,0.0,0.0
12,sway,221375748.5405848,0.25548675935767506,0.0,0.0
