DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,pred25
effort/china.csv,0,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.05032682418823242,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 0.999999, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.5197573107684647,0.4648880148034296,0.2076436001809136
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.044266700744628906,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5361247951154214,0.4981150569405023,0.2257349615558571
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.05499744415283203,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5384196376245016,0.49809476234344324,0.22270465852555404
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.039006948471069336,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5387627888389395,0.4971321922670652,0.22872003618272277
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.0390019416809082,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5389446327389182,0.4956751426968104,0.22872003618272277
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.0469970703125,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5069364911406373,0.4175468301850854,0.23491632745364086
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.038323163986206055,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.507361046023812,0.4172341357923668,0.23491632745364086
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.03427529335021973,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.536905564361777,0.49766348663397675,0.22872003618272277
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04431581497192383,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.538918395148598,0.4975731776681866,0.22872003618272277
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.038248300552368164,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5374620174392967,0.49718529307435644,0.23170511080958844
