MO,Iteration,PT,Duration,effort,months,defects,risks
osp,0,random search,0.05399799346923828,340.70769518391614,31.709191283209936,2608.256233120736,0.5361930294906166
osp,0,random search,0.05199742317199707,1704.108430067272,35.24047898077293,7016.030400567981,0.0
osp,0,random search,0.05399799346923828,471.6875857878399,25.351273350885855,1301.2740609647658,0.8042895442359249
osp,0,random search,0.043999433517456055,303.2283937104828,21.536989239703463,625.6350485490115,1.0723860589812333
osp,0,random search,0.04799914360046387,84.42850958517796,14.124256288161252,233.1620994242851,1.6085790884718498
osp,0,random search,0.04799914360046387,1614.838117448382,28.601585556768985,8984.896221376537,0.5361930294906166
osp,0,random search,0.055998802185058594,1559.6311694968647,35.3817539540533,14059.817208875602,0.0
osp,0,random search,0.053999900817871094,755.53617903229,27.015082921822845,962.9128974349429,0.8042895442359249
osp,0,random search,0.04600048065185547,162.54683111886578,12.153592771809388,650.5054034858397,1.6085790884718498
osp,0,random search,0.045737266540527344,49.272614051945595,16.682830264782098,142.0055554746254,1.6085790884718498
osp,0,random search,0.04591822624206543,413.29356136918267,18.565742880578533,1284.5587594305375,1.0723860589812333
osp,0,random search,0.04628920555114746,25.274808472005528,7.015255949849644,123.52947255683365,6.166219839142091
osp,0,sway,0.05499863624572754,632.9709538029264,22.45788115709214,4251.863687728659,2.1447721179624666
osp,0,sway,0.052515506744384766,1385.8062784262945,23.86114073617192,3042.8290777610414,2.1447721179624666
osp,0,sway,0.05299973487854004,2416.0370066880732,54.45067222920846,2629.5846807047783,0.0
osp,0,sway,0.048719167709350586,277.1090659769678,17.348506793626445,4586.396160408295,2.4128686327077746
osp,0,sway,0.04499936103820801,413.6601428233573,24.015983911133798,1475.2839093875175,0.5361930294906166
osp,0,sway,0.04099845886230469,363.93819798886096,31.36678470465738,4078.2644017239913,2.680965147453083
osp,0,sway,0.04099845886230469,410.8315861355021,31.57098027385466,3638.573676208236,1.3404825737265416
osp,0,tpe,0.05002474784851074,6.4313213567560155,8.984627242784912,32.07663763672819,0.8042895442359249
osp,0,tpe,0.05099964141845703,58.65434478386648,12.53959203054018,324.3482472818188,0.5361930294906166
osp,0,tpe,0.041999101638793945,284.7622029206158,20.759351907522227,275.10699496482925,0.0
osp,0,tpe,0.04999899864196777,75.20683108111436,14.163677155667909,199.5809783032937,0.5361930294906166
osp,0,tpe,0.0429995059967041,30.006346741083007,14.284235169685918,303.5146653570702,0.0
osp,0,tpe,0.04999947547912598,51.38836456483572,8.725606501408993,194.3034938512623,5.093833780160858
osp,0,nsga-ii,0.05499982833862305,70.20515120859268,18.11595778242557,106.09308917739862,1.0723860589812333
osp,0,nsga-ii,0.055999755859375,70.26537613262786,13.638140950932494,80.89914705385489,0.2680965147453083
