MO,Iteration,PT,Duration,cost,score,idle_rate
pom3a,0,moead,0.0170180797576904,0,0,0
pom3a,0,moead,0,4.14067941359707E-07,0.951382381205621,0
pom3a,0,moead,0.0156276226043701,6.08461796918216E-07,0.971721244772137,0
pom3a,0,moead,0.0156209468841553,1.76280505724261E-07,0.924990115368865,0
pom3a,0,moead,0.0221397876739502,5.61212388483427E-07,0.958278965935168,0
pom3a,0,moead,0.0312507152557373,3.48775512254774E-07,0.951007269347264,0
pom3a,0,moead,0.0156266689300537,1.69735960002762E-07,0.829162131698755,0
pom3a,0,random search,0.0533840656280518,3.19679209729704,0.860636586661213,0.111111111111111
pom3a,0,random search,0.0534019470214844,0,0,0
pom3a,0,random search,0.0377755165100098,62.5241000255627,0.94073262796533,0
pom3a,0,random search,0.0156421661376953,0.00411751247774344,0.721881830207057,0.0441176470588235
pom3a,0,random search,0.00202512741088867,0.00113018771686936,0.64851478918107,0
pom3a,0,sway,0.0100836753845215,0,0,0
pom3a,0,sway,0,1.41143307005126E-07,0.726450006341066,0.15
pom3a,0,sway,0,0.000178597725166256,0.984737679569887,0
pom3a,0,sway,0.120635032653809,5.23448633674034E-07,0.779157364106242,0.0651465798045603
pom3a,0,sway,0.231151342391968,4.62550690849659E-07,0.764087764924616,0.209515859766277
pom3a,0,sway,0.0402753353118897,5.56755882516282E-07,0.763190529512489,0.0424710424710425
pom3a,0,sway,0,1.16408146709785E-05,0.688758371324954,0
pom3a,0,sway,0.0221078395843506,8.39964662939075E-07,0.94135763704505,0
pom3a,0,sway,0.0682730674743652,7.82174746302409E-07,0.904102364580373,0.0551948051948052
pom3a,0,sway,0,0.00511899326614378,1,0
pom3a,0,sway,0,16.7682180932761,1,0
pom3a,0,tpe,0.00956535339355469,0,0,0
pom3a,1,moead,0.0179803371429443,0,0,0
pom3a,1,moead,0.0468738079071045,41.3022593083639,0.881017715597729,0.0306122448979592
pom3a,1,moead,0.02213454246521,52.5016281484416,0.926980858516621,0
pom3a,1,moead,0.0377635955810547,0.0220653781871585,0.726847776379644,0
pom3a,1,moead,0,0.0114552664042025,0.873767192179757,0.111111111111111
pom3a,1,moead,0.0156247615814209,0.0109248254968158,0.683027732455739,0
pom3a,1,random search,0,0,0,0
pom3a,1,random search,0,28.220461149597,0.769097514172395,0
pom3a,1,random search,0.193233489990234,0.088009472640345,0.573889121291965,0.0909090909090909
pom3a,1,random search,0.0184626579284668,0.445151218774464,0.945992043598829,0
pom3a,1,sway,0.0120689868927002,0,0,0
pom3a,1,sway,0.0300917625427246,7.91092475700762E-07,0.810136499521994,0
pom3a,1,sway,0.098499059677124,7.25319305416009E-07,0.743679669604343,0.0353982300884956
pom3a,1,sway,0.0302214622497559,0.0388919767282192,1,0
pom3a,1,sway,0.0180883407592773,8.43761010683111E-07,0.932970058977231,0.0289855072463768
pom3a,1,sway,0,0.00140932929000662,0.94671752939426,0.166666666666667
pom3a,1,sway,0,0.0320760638746549,0.971136952845755,0
pom3a,1,sway,0.0463504791259766,4.36102996954213E-05,0.937375922078512,0.247311827956989
pom3a,1,sway,0.0120003223419189,0.00259797636203875,0.891463702263467,0
pom3a,1,sway,0.0885086059570313,0.0063285069191857,0.892660886359234,0.0254452926208651
pom3a,1,sway,0.0100870132446289,0.0283723284062009,0.952929296143446,0.0588235294117647
pom3a,1,sway,0,0.00250884938229018,0.934329732137656,0.111111111111111
pom3a,1,tpe,0.030092716217041,1.46213147573054,0.705258192150318,0.0535714285714286
pom3a,2,moead,0,0,0,0
pom3a,2,moead,0.00399899482727051,8.32005764547007E-06,0.817056863905777,0
pom3a,2,moead,0,2.09759199794245E-05,1,0
pom3a,2,moead,0.00400185585021973,1.90423854561815E-05,0.819728664040364,0
pom3a,2,random search,0.0180900096893311,0,0,0
pom3a,2,random search,0.0281355381011963,0.000815434626942291,0.896733643706578,0
pom3a,2,sway,0,0,0,0
pom3a,2,sway,0.0100753307342529,4.05820612441248E-07,0.75739298788115,0
pom3a,2,sway,0.01007080078125,3.34889199479004E-07,0.759546643874409,0.0256410256410257
pom3a,2,sway,0.0156280994415283,1.96471457078149E-06,0.940973697127629,0
pom3a,2,sway,0,0.309056561693256,1,0
pom3a,2,sway,0.00201916694641113,0.000119699774904006,0.957668547622162,0
pom3a,2,sway,0.112645626068115,0.0113670807938617,0.963706534789089,0.0361613351877608
pom3a,2,sway,0.0100533962249756,0.00034951053011133,0.973925169678006,0
pom3a,2,sway,0.00201678276062012,0.112509688430667,0.995886426512273,0.0909090909090909
pom3a,2,sway,0,0.0573156913362789,0.990653445064651,0
pom3a,2,sway,0.0302078723907471,5.26868858931739E-07,0.927406090494442,0
pom3a,2,sway,0,0.0195594956710207,1,0.25
