Iteration,PT,Params?,SA+,SD+,Pred25+
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.43130449248924,0.408959750110777,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.441984128303197,0.362979202658684,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.408780584718619,0.426890653745008,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.435990266577128,0.39734244366028,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.435757591857324,0.371335979917236,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.439370733538413,0.39206724280841,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.44495514171734,0.362735576656348,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.400869819251168,0.429898026682257,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.427803687049667,0.353302939211329,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.430483722608369,0.410046263710518,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.423988470531158,0.357794444549096,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.382298534781875,0.44207324024788,0.18
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.439371038285212,0.39368099156146,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.389163643446844,0.440448823928311,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.409350865529925,0.42493193916975,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.429174746872511,0.352888770497722,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.446546804481181,0.358017043863274,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.395693461106102,0.440263275051352,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.395877134129514,0.438433454705019,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.432092670501204,0.40167176646436,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.429200186410043,0.349019786827671,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.39875386688891,0.431883863909203,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.408887557792369,0.426789567026423,0.23
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.430990074265258,0.344452797196785,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.449867384848473,0.348740236055152,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.439105891770295,0.394081770812643,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.409035565783125,0.425809910213639,0.28
