DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,pred25
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.07567882537841797,"{'la__degree': 3, 'la__coef0': 0.800868780127962, 'la__gamma': 0.09364903881868941, 'la__C': 12413.997188109885, 'la__epsilon': 0.28442852620866094, 'la__kernel': 'poly'}",0.47194010738685394,0.36481044894698067,0.22216191768430577
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.06742644309997559,"{'la__degree': 3, 'la__coef0': 0.800868780127962, 'la__gamma': 0.09364903881868941, 'la__C': 12413.997188109885, 'la__epsilon': 0.28442852620866094, 'la__kernel': 'poly'}",0.48612633424526275,0.4202011836890547,0.20710085933966532
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.06100106239318848,"{'la__degree': 3, 'la__coef0': 0.800868780127962, 'la__gamma': 0.09364903881868941, 'la__C': 12413.997188109885, 'la__epsilon': 0.28442852620866094, 'la__kernel': 'poly'}",0.4812031064194307,0.3967265746228194,0.2072365445499774
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.0630028247833252,"{'la__degree': 3, 'la__coef0': 0.800868780127962, 'la__gamma': 0.09364903881868941, 'la__C': 12413.997188109885, 'la__epsilon': 0.28442852620866094, 'la__kernel': 'poly'}",0.4803531989891633,0.3924826818335182,0.2101763907734057
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.06600308418273926,"{'la__degree': 3, 'la__coef0': 0.800868780127962, 'la__gamma': 0.09364903881868941, 'la__C': 12413.997188109885, 'la__epsilon': 0.28442852620866094, 'la__kernel': 'poly'}",0.4585482145893329,0.42102629537026603,0.2102668475802804
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.06856107711791992,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.48447632502703114,0.40365621732068435,0.21325192220714612
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.06241893768310547,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.4790490205214749,0.4371488935022606,0.20425146992311172
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.040149688720703125,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.48809549685137255,0.42797770897054777,0.20416101311623702
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.050394535064697266,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.48841314385825374,0.42242885633270094,0.210085933966531
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.07822036743164062,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.4833193273394367,0.3988214461010169,0.22532790592492083
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.060651540756225586,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.486053658049377,0.4088337757740937,0.2102668475802804
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.0706491470336914,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.49124961699383796,0.44686136509411706,0.19819086386250565
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.05911731719970703,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.4875296656015865,0.4259840590847103,0.20714608774310267
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.06059598922729492,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.48752101015786914,0.4261967942830102,0.2101763907734057
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.05456709861755371,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.4926484633252077,0.4243395545410661,0.19217548620533695
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.06665301322937012,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.4856962880285057,0.4352246080761194,0.20719131614654004
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.06853175163269043,"{'la__degree': 3, 'la__coef0': 0.24649247110436104, 'la__gamma': 0.5847524761320423, 'la__C': 10408.91832801363, 'la__epsilon': 0.29290079782398004, 'la__kernel': 'sigmoid'}",0.49017183972092865,0.4339207699803761,0.20117593848937135
effort/china.csv,0,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.06651473045349121,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 3, 'la__epsilon': 1e-05, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.2898562477034449,0.24915276030716949,0.17127996381727725
