DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/china.csv,3,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",436.91592168808,,2293.42134616251,0.516674457032216,4554.39857134668,0.450437268287901,0.297250078558047,1.54641232923873,0.191616766467066,3072,pareto front
effort/china.csv,3,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",415.447202444077,,2110.6993268557,0.555182086404989,3791.58214742062,0.546672987590552,0.320274323847428,1.65994446549341,0.239520958083832,3000,pareto front
effort/china.csv,3,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",416.875166654587,,2106.52547723023,0.556061701544121,3783.77083162909,0.544395851950877,0.317496345363211,1.66195219336178,0.239520958083832,3000,pareto front
effort/china.csv,3,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",594.920206785202,,2072.34121636419,0.563265840666519,3773.04802937432,0.546910876843137,0.32258286603789,1.5937775897962,0.245508982035928,4200,pareto front
effort/china.csv,4,none,minmax,none,svr,default,None,0.240598917007446,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3378.11661530946,0.341589481429752,6326.06447890571,0.200483636872646,0.220725639638924,1.29131336418554,0.102409638554217,,
effort/china.csv,4,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",11.0178718566895,,2746.06630418524,0.464779004024626,4943.16069894075,0.374902116528287,0.302028402455951,1.03127650466001,0.192771084337349,192,pareto front
effort/china.csv,4,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",69.1628851890564,,2769.7571399515,0.460161550798903,4749.32032952095,0.400827762388484,0.297382454488777,1.09413748522359,0.186746987951807,66,pareto front
effort/china.csv,4,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",445.177816390991,,2797.22745326291,0.454807459957077,4724.44203932689,0.404916386259913,0.294119809952196,1.10795253035337,0.168674698795181,3072,pareto front
effort/china.csv,4,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",420.737952470779,,2761.12460392776,0.461844071909692,4821.30221337655,0.394210757524557,0.29834390633835,1.17562623730158,0.180722891566265,3000,pareto front
effort/china.csv,4,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",423.927299499512,,2736.18797830935,0.466704335327007,4907.95368494653,0.384099522039161,0.301534981374189,1.04597946886985,0.174698795180723,3000,pareto front
