DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/isbsg10.csv,0,none,minmax,none,svr,default,None,0.503422021865845,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3136.66164267124,0.16972744163857,3629.2347424309,0.0234837721114457,0.171190135928126,1.34429521678114,0.153846153846154,,
effort/isbsg10.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",2.00599932670593,,3105.84688169103,0.177884091398389,3612.29250672498,0.0401712798690688,0.180369006775524,1.05759375080489,0.0769230769230769,192,pareto front
effort/isbsg10.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",67.5960080623627,,2928.22697353815,0.224899980377866,3533.04890174894,0.0635228480609369,0.22807538238862,0.978364035873133,0.153846153846154,66,pareto front
effort/isbsg10.csv,0,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",89.8458316326141,,3131.12596483733,0.171192732422534,3624.37145655048,0.0331078132646562,0.172072899098162,1.33823759859798,0.0769230769230769,3072,pareto front
effort/isbsg10.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",79.5932004451752,,3002.92928819633,0.20512632004326,3570.55749879091,0.0535025935043282,0.204401382730798,1.00963107758674,0.0769230769230769,3000,pareto front
effort/isbsg10.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",80.259938955307,,2972.89906355964,0.213075303477776,3503.09288631528,0.0655686267102297,0.21252809864387,0.910181835827846,0.0769230769230769,3000,pareto front
effort/isbsg10.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",115.758837938309,,3093.62420983344,0.181119425708969,3607.2210818328,0.0438118925709259,0.182805914166417,1.05087904645756,0.0769230769230769,4200,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,default,None,0.492000579833984,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2331.87162856087,0.277822313551114,2792.52400877722,0.273133050881697,0.234016263920443,1.6432543003802,0.166666666666667,,
effort/isbsg10.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",2.04596376419067,,2560.09881632237,0.207140642903552,2085.02647630225,0.459255980969602,0.172425886212918,2.15881240990381,0.0833333333333333,192,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",68.6929206848145,,2233.7696278057,0.308204378787314,2159.96594178787,0.443515044006495,0.257231476041912,1.69193803899328,0.0833333333333333,66,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",91.0918276309967,,2327.57465958979,0.279153079392711,2790.93475414016,0.27763836453017,0.235761829042593,1.63428371968773,0.166666666666667,3072,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",81.0787515640259,,2481.24932983265,0.231560228884781,2207.5943788193,0.426512297747492,0.194657441667241,1.97165776545749,0.0833333333333333,3000,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",80.6639940738678,,2489.3890071816,0.229039381131282,2211.52023990512,0.424375877075346,0.192260912974305,1.99249518880532,0.0833333333333333,3000,pareto front
effort/isbsg10.csv,1,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",118.726393222809,,2596.02439034906,0.196014538182704,2208.23271795718,0.424899903633737,0.163147201911773,2.22780130650599,0,4200,pareto front
effort/isbsg10.csv,2,none,minmax,none,svr,default,None,0.487000703811646,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",1534.80669756829,0.317733132729617,2121.13208209716,0.285419340760446,0.239770593118442,3.6528149330795,0.25,,
effort/isbsg10.csv,2,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",1.97329068183899,,950.189367671731,0.57761278718542,1116.15226811673,0.621257704432721,0.442356108395595,1.24788331268081,0.166666666666667,192,pareto front
effort/isbsg10.csv,2,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",66.3330073356628,,1225.54480141535,0.455209171496363,1207.96962381376,0.594118455449732,0.342567727831489,2.76484216058549,0.166666666666667,66,pareto front
effort/isbsg10.csv,2,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",91.8570766448975,,1400.15579048408,0.377589434306233,1269.7268805935,0.572133725575185,0.287206418211499,3.44202497233509,0.166666666666667,3072,pareto front
effort/isbsg10.csv,2,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",81.1978936195374,,946.523653208379,0.57924230543497,1123.09156316681,0.625298401785504,0.441393726839646,1.30347514313759,0.166666666666667,3000,pareto front
effort/isbsg10.csv,2,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",80.6518170833588,,946.729184985913,0.579150940494874,1122.59384730561,0.618794356024115,0.436523123397876,1.29981682188112,0.166666666666667,3000,pareto front
