random 6617918294.0752125 9324099018.29474 2108322827.7627256 1962900591.762523 12108824827.753223 26211509357.19613 17900517596.472942 12894417861.17834 10619058820.808023 5021734483.654679 3823041129.402309 23093515830.01788 7142659426.103253 2113118220.05494 16875189129.326036 6700790433.616358 7298023835.210768 12884832441.117596 730424122.2129531 40707735286.14296
sway 3242949700.108253 5811475285.508222 2337367292.935143 2638288104.2947664 3829788235.5027056 20683180729.594734 14035496665.606615 7019739120.187372 5547322484.854175 2191491415.4484143 4283671940.796216 17673619221.227764 4955199154.399785 1647661558.7094507 5388940504.654226 6046435688.692184 7845783831.046166 8208738835.520618 445277338.3489365 43258479514.37919
tpe 9271873116.848713 10376456562.856035 4476791933.378396 3054071177.9877644 12874319290.102629 40942626931.11467 16974101095.603634 14021986530.439753 13395223538.80613 7395021757.748339 5394994668.13022 29686188148.726566 8213838107.427189 2583788788.5068016 16977046751.660477 7085783181.301783 13206233724.29984 15544098770.182709 1335797768.8327374 59808335400.4284
nsga-ii 9066166607.839756 9917413262.434282 4009055502.983735 3469258929.710976 13140858540.479618 40648605266.44367 21090979440.171085 14029438354.736538 13237022402.00373 7795922211.316413 5875642564.581108 31458520612.835217 8566852295.592 2899782967.8445106 16437044236.256594 6950581059.401912 12154835057.297798 13369250063.590162 1205101319.8865788 52984486121.74632
nsga-iii 8946024543.22241 10442492932.519411 4110750405.4738016 3146094737.404772 13526097450.92582 37901342383.961845 20809052310.91166 14062940788.83442 12111193689.287195 6653701159.26161 5296630854.38942 33571556767.8737 8638301938.86568 2475541705.586732 16359591287.429789 7833652816.041842 13512356918.329702 14648393302.439594 1712000943.065014 56139750630.12121
moead 10175277584.956198 10319634836.766869 4678001685.250273 3465887440.2336726 14735292180.356806 42204215220.415215 21121713728.30416 14237661901.20575 13107222658.973951 8404607424.65449 5390137862.703242 32579804950.61001 8327408268.19028 2665642509.17914 18411379653.684376 7787910199.114306 13954430194.188044 14164437116.648922 1469991908.5800257 56316182229.555305
