random 9645204027.800957 41826286645.52324 13011429137.593552 33407227948.16524 21182085849.78528 1066228911.0064076 1715837096.9228551 2494533065.6162 1776915618.2742648 34638555512.8192 10425960551.522083 10556026833.079325 455502570.9407553 17828975911.455997 13479990406.69748 1448213674.6479542 13165040094.83958 1141442150.629531 120319245.88148588 3524245701.5921154
sway 6192493838.68425 34976557013.47796 10273905826.6426 16955948007.379951 20032578989.23063 781636696.3014227 1309703723.267535 3385201856.17088 1096041016.6939006 27295931031.90251 10171028157.250568 7531442715.777496 547948278.9891241 14471442778.464577 7021082918.350759 1261707884.447771 12699722514.839918 676405622.3297436 108511398.7500217 1160656981.2008147
tpe 12226580415.787031 48241239508.24061 18474866300.534004 37921798902.11413 24162774155.146378 1479547459.788062 2786555707.5214496 4977999634.684139 1997848338.565236 38394456515.400215 12684030273.376047 12057790758.162724 1257403702.1088731 19991635559.533348 18046609240.12803 2319102937.923357 17227940104.939747 1855659836.970292 104808251.23484902 4820017303.661693
nsga-ii 12285522030.477371 51306128970.52437 18160582892.2778 42860798396.26023 24191541112.70665 1555134437.71213 2658365924.797311 5201022611.842897 2058881325.172737 37031270460.49869 12967593509.86184 14894196718.61303 1257096401.396381 21043444685.704742 18375893545.32585 2293743235.0732656 16368546512.871595 1557774297.6335075 123182673.23982944 5023440516.027247
nsga-iii 12084039447.367811 51136666152.04101 18075435617.96257 40170738258.95664 31736223219.277004 1652698790.514202 3194694364.1201005 4656133728.39939 2200647521.078276 38655647684.04189 12004735553.912329 13514077590.647837 1395606447.7122808 21854994462.23282 15960599175.277355 2121534056.2509103 16852232855.03451 1792160772.6074247 154915783.0261641 4733030470.568138
moead 12060701023.891876 55356113787.68407 20792968204.915684 43504408226.451805 31410502506.84605 1687407798.0129802 3129935395.804249 4799230166.396509 2268567641.8148794 39891814352.58906 13791642110.416342 13145025719.355532 1347015801.8235693 22549944123.71048 19545135230.805416 2298236415.7882085 18220989720.49159 2102469725.713004 167377503.2664473 5061123304.794611
