ds,pp,pt,m,rank,q0,q1,q2,q3,q4
adult,none,random,spd-sex,1,0.036002513649322,0.051894713075804,0.150066351967549,0.170098766602036,0.188728501228501
adult,fairsmote,de,spd-sex,2,0.0,0.136551038420286,0.153465368152886,0.164858466312897,0.186372687567404
adult,fairsmote,random,spd-sex,3,0.089803756049044,0.141397607986428,0.15436897893205,0.169627906354308,0.184981056639767
adult,fairsmote,default,spd-sex,3,0.114087691291884,0.147440846507436,0.161564874465946,0.169143575101507,0.191916648175002
adult,none,de,spd-sex,4,0.0,0.082786616473656,0.170477335525227,0.178992466981534,0.190750965069203
adult,none,default,spd-sex,5,0.161028764013109,0.176439210089241,0.181828268180903,0.186743819216761,0.197539841404338
bank,fairsmote,random,accuracy,2,0.767921146953405,0.788177339901478,0.794354838709677,0.800627240143369,0.813255709807434
bank,none,random,accuracy,2,0.773399014778325,0.788530465949821,0.795698924731183,0.800716524854456,0.821316614420063
bank,fairsmote,de,accuracy,2,0.474910394265233,0.78405017921147,0.797491039426523,0.80295566502463,0.817733990147783
bank,fairsmote,default,accuracy,1,0.779569892473118,0.790864308105687,0.798387096774194,0.806003584229391,0.815942678011644
bank,none,de,accuracy,1,0.722346618898343,0.788978494623656,0.800627240143369,0.80922525750112,0.828481862964622
bank,none,default,accuracy,1,0.780465949820789,0.795342588446037,0.801612180922526,0.80564263322884,0.819077474249888
bank,fairsmote,random,aod-age,1,0.002243845476724,0.01635073527031,0.03468134607769,0.066398592351084,0.125632658050385
bank,none,de,aod-age,1,0.006977604423543,0.014436502519507,0.03993824885126,0.095273469488824,0.130719337453556
bank,fairsmote,de,aod-age,2,0.0,0.010636109520674,0.041301079009235,0.072342517040306,0.173731986153839
bank,none,random,aod-age,2,0.001400877539437,0.029751747006772,0.049080382857899,0.076245149381972,0.139102403424271
bank,fairsmote,default,aod-age,3,0.000874529318465,0.034010701657943,0.061492095221298,0.107298658831461,0.194049724222138
bank,none,default,aod-age,4,0.012414175280041,0.054384148777742,0.099508799050084,0.134997871483448,0.295721759083828
bank,fairsmote,de,d2h1,1,0.183587463680294,0.194688006787607,0.203586498125632,0.216002244959899,0.896409009175479
bank,fairsmote,random,d2h1,1,0.185723287740919,0.198756198528138,0.204748745443674,0.211988563743667,0.232476432814405
bank,fairsmote,default,d2h1,1,0.187671806359351,0.199217467222588,0.205080244653749,0.213478799677992,0.231756785093603
bank,none,default,d2h1,1,0.184643729313535,0.198994238700987,0.205495099540086,0.21121777296116,0.228001109616208
bank,none,de,d2h1,2,0.174767548915113,0.196033115381194,0.206855547950161,0.219454794461117,0.321542032325357
bank,none,random,d2h1,2,0.181154505361752,0.202990588286767,0.208261161416579,0.219392286900389,0.23314771058343
bank,fairsmote,random,d2h2,1,0.079632468733214,0.111623869454938,0.137140826450911,0.189019968431931,0.270733774991873
bank,none,random,d2h2,1,0.078482245441544,0.105412100875298,0.157873802192196,0.20464331037369,0.270050746410402
bank,fairsmote,de,d2h2,1,0.0,0.109669136760437,0.160264828029745,0.200139258218787,0.447213595499958
bank,none,de,d2h2,1,0.058836571881737,0.124301364129224,0.162764813513316,0.19510389321255,0.28128163126659
bank,fairsmote,default,d2h2,2,0.096609299147252,0.201488671183369,0.232196292455507,0.286946104733663,0.369453624826952
bank,none,default,d2h2,3,0.123688835133912,0.249869954057663,0.284029165707229,0.309965825209919,0.429092460053438
bank,fairsmote,random,d2h3,1,0.14631867149966,0.164712025820664,0.169298891250936,0.194530636142822,0.246028680934601
bank,none,random,d2h3,2,0.147343435532901,0.163521049575088,0.182340725822976,0.205084402008665,0.242526161635474
bank,none,de,d2h3,2,0.143368153483716,0.16789075575419,0.184418780753595,0.20266877949014,0.251427048253953
bank,fairsmote,de,d2h3,2,0.143197094170663,0.167723865166424,0.185523479476426,0.203841825790583,0.684283603236411
bank,fairsmote,default,d2h3,3,0.148379737000525,0.201513973668349,0.221668244371553,0.255363097545561,0.312230391647075
bank,none,default,d2h3,4,0.159954468426189,0.233240839726592,0.251538379752676,0.268630850948128,0.344359629089004
bank,fairsmote,random,di-age,1,0.00047460844803,0.191687175280284,0.262015503875969,0.362289799778779,0.515830852715387
bank,fairsmote,de,di-age,1,0.0,0.187192118226601,0.302160760587727,0.383971113758189,1.0
bank,none,random,di-age,1,0.003090103710777,0.177831601759194,0.305188251595135,0.400652985074627,0.53423886269266
bank,none,de,di-age,1,0.017163504968383,0.194389684258152,0.319184515761759,0.386025408348457,0.551270191418203
bank,fairsmote,default,di-age,2,0.07991741297458,0.378385698808234,0.438433743311792,0.545052682572363,0.69238995920737
bank,none,default,di-age,3,0.217464788732394,0.473805022954361,0.536576293602248,0.602548395001225,0.803238469087341
bank,fairsmote,de,eod-age,1,0.0,0.020927379784102,0.044642268381141,0.089057899901865,0.1855249745158
bank,fairsmote,random,eod-age,1,0.008001542466018,0.030576262107754,0.050059233545472,0.089108476064998,0.221364859125018
bank,none,de,eod-age,2,0.000843536103345,0.03734221598878,0.06205533596838,0.103279242731575,0.297272473144044
bank,none,random,eod-age,2,0.00031894013739,0.027664027664028,0.062444246208742,0.09726443768997,0.278918306668554
bank,fairsmote,default,eod-age,3,0.00368906455863,0.040664196759363,0.075795319965696,0.112363996043521,0.209393346379648
bank,none,default,eod-age,4,0.004878403960973,0.05519128260767,0.093694742261119,0.133552271483306,0.215215215215215
bank,none,random,f1,4,0.763094666025949,0.778654292343388,0.791590493601463,0.795650203896692,0.818223234624146
bank,none,de,f1,3,0.665226781857451,0.777192141830379,0.792792792792793,0.802238805970149,0.824231298760899
bank,none,default,f1,3,0.769520225776105,0.787488500459982,0.793781435756744,0.800374006545115,0.814167433302668
bank,fairsmote,default,f1,3,0.764818355640535,0.785158039395328,0.794131132508024,0.801256168685509,0.811208084519982
bank,fairsmote,de,f1,2,0.0,0.785840707964602,0.798750557786702,0.805820827648931,0.81917211328976
bank,fairsmote,random,f1,1,0.769777777777778,0.789497107254117,0.8,0.804749340369393,0.816218598501543
bank,none,random,fr-age,1,0.0,0.029108822212271,0.045250896057348,0.058691756272402,0.112007168458781
bank,fairsmote,random,fr-age,1,0.013888888888889,0.040752351097179,0.049283154121864,0.062724014336918,0.085573476702509
bank,none,de,fr-age,1,0.0,0.03673835125448,0.055555555555556,0.059561128526646,0.103896103896104
bank,fairsmote,de,fr-age,2,0.0,0.03494623655914,0.062724014336918,0.081541218637993,0.107078853046595
bank,fairsmote,default,fr-age,3,0.118279569892473,0.137035378414689,0.147401433691756,0.154052843708016,0.172939068100358
bank,none,default,fr-age,3,0.115143369175627,0.1307657859382,0.147849462365591,0.15808329601433,0.176892073443798
bank,fairsmote,random,precision,3,0.711585866885785,0.737976782752902,0.747870528109029,0.758090614886731,0.778151260504202
bank,fairsmote,de,precision,3,0.0,0.735604217356042,0.753673292999136,0.764309764309764,0.777502067824648
bank,none,random,precision,2,0.741906474820144,0.762557077625571,0.773755656108597,0.781800391389433,0.804659498207885
bank,fairsmote,default,precision,2,0.744796380090498,0.763668430335097,0.774887892376682,0.782882882882883,0.805682859761686
bank,none,de,precision,1,0.748894783377542,0.770873786407767,0.777,0.787155963302752,0.816363636363636
bank,none,default,precision,1,0.7483989021043,0.770186335403727,0.778995433789954,0.789233576642336,0.813670411985019
bank,none,default,recall,4,0.781036168132942,0.8,0.807799442896936,0.815956482320943,0.828734538534729
bank,none,random,recall,4,0.751893939393939,0.793726235741445,0.808285163776493,0.820754716981132,0.842207163601162
bank,none,de,recall,3,0.596321393998064,0.779677113010446,0.813975448536355,0.825070159027128,0.855502392344498
bank,fairsmote,default,recall,2,0.785854616895874,0.804263565891473,0.814638783269962,0.824528301886793,0.832688588007737
bank,fairsmote,de,recall,1,0.0,0.844574780058651,0.855275443510738,0.861266294227188,1.0
bank,fairsmote,random,recall,1,0.818270165208941,0.845871559633027,0.855513307984791,0.861712135465663,0.874643874643875
bank,fairsmote,random,spd-age,1,0.000262605042017,0.105004582951421,0.139669421487603,0.195693021725389,0.273352353349636
bank,none,random,spd-age,1,0.001518597936532,0.088506804555404,0.154414055738272,0.196657509157509,0.267854622441778
bank,none,de,spd-age,1,0.008731617647059,0.095406528566444,0.156407900780891,0.188337924701561,0.273359209597742
bank,fairsmote,de,spd-age,1,0.0,0.091328413284133,0.157154340836013,0.2,0.289285390816049
bank,fairsmote,default,spd-age,2,0.039607380516323,0.184768807533594,0.220244988154302,0.268997749697075,0.342050840805483
bank,none,default,spd-age,3,0.105663131961598,0.229631568614619,0.258310376492195,0.287259528130671,0.37632183908046
compas-scores-two-years,fairsmote,default,accuracy,6,0.611226611226611,0.627165627165627,0.632709632709633,0.638253638253638,0.664587664587665
compas-scores-two-years,none,de,accuracy,5,0.542302357836338,0.631323631323631,0.647018030513176,0.656033287101248,0.687456687456687
compas-scores-two-years,none,default,accuracy,4,0.627165627165627,0.63869625520111,0.647262647262647,0.655578655578656,0.670824670824671
compas-scores-two-years,none,random,accuracy,3,0.616077616077616,0.643104643104643,0.650727650727651,0.656726768377254,0.685377685377685
compas-scores-two-years,fairsmote,de,accuracy,2,0.557172557172557,0.656271656271656,0.66504854368932,0.672676837725381,0.686763686763687
compas-scores-two-years,fairsmote,random,accuracy,1,0.65003465003465,0.661122661122661,0.667359667359667,0.67983367983368,0.696465696465696
compas-scores-two-years,fairsmote,default,aod-race,1,0.000948310707973,0.019892796255624,0.043647260941,0.058507846231631,0.102257317581445
compas-scores-two-years,fairsmote,de,aod-race,2,0.0,0.064500168544067,0.097709828449076,0.117585380065204,0.164129516849439
compas-scores-two-years,fairsmote,random,aod-race,3,0.024705707815085,0.084127942801041,0.102716755544193,0.124889013648365,0.181868517053931
compas-scores-two-years,none,random,aod-race,3,0.065981784504909,0.096479698308898,0.105287462503034,0.121524763751654,0.160421867383022
compas-scores-two-years,none,de,aod-race,3,0.0,0.08162809658521,0.109031632864891,0.12628092894898,0.339460188163794
compas-scores-two-years,none,default,aod-race,4,0.04951867989585,0.093691880212563,0.115915228356747,0.13927788521999,0.175477577267859
compas-scores-two-years,fairsmote,default,aod-sex,1,0.003114602279087,0.01325015030284,0.030673567278517,0.055645640712755,0.115517246650337
compas-scores-two-years,fairsmote,de,aod-sex,2,0.0,0.027776060684582,0.054691198438382,0.090831527703976,0.144162946795345
compas-scores-two-years,none,de,aod-sex,3,0.0,0.04796219515109,0.076101292369609,0.098061441593287,0.142709902879948
compas-scores-two-years,fairsmote,random,aod-sex,4,0.003481442062931,0.054922636344309,0.079034907757358,0.103592265534865,0.164385048204667
compas-scores-two-years,none,random,aod-sex,4,0.029956443940347,0.06745793212293,0.082875835939018,0.098744595624354,0.134219660047615
compas-scores-two-years,none,default,aod-sex,5,0.016348747609883,0.075512129695385,0.109939846703237,0.129755277792356,0.164760368564743
compas-scores-two-years,none,random,d2h1,1,0.267224616399029,0.289160415902454,0.298704028788977,0.305619693063048,0.328060186929502
compas-scores-two-years,none,de,d2h1,2,0.272869684369709,0.29204734196132,0.29935680687124,0.316414612235579,0.356034513097101
compas-scores-two-years,fairsmote,random,d2h1,3,0.283331031709712,0.302208041864998,0.312673828201006,0.319167333865119,0.335986096130352
compas-scores-two-years,fairsmote,de,d2h1,4,0.294978725083517,0.305875113693061,0.317758624615226,0.32918423868163,0.34389816873611
compas-scores-two-years,none,default,d2h1,4,0.291257494374493,0.309612591095206,0.320747591103709,0.325837840697005,0.341101015755038
compas-scores-two-years,fairsmote,default,d2h1,5,0.312164259355323,0.335235255016449,0.340713378728394,0.345085989080243,0.363223439741894
compas-scores-two-years,none,random,d2h2,1,0.065681652153054,0.094810932900709,0.101587388524255,0.112119932419563,0.134154154141838
compas-scores-two-years,none,de,d2h2,1,0.0,0.083077132172129,0.106058673675068,0.115189363578326,0.255027138841982
compas-scores-two-years,fairsmote,de,d2h2,2,0.0,0.105424719911228,0.116076217256648,0.135229510567142,0.18325797532449
compas-scores-two-years,fairsmote,random,d2h2,3,0.061206912653434,0.114154105629802,0.128127374971071,0.139496679032054,0.185737536543105
compas-scores-two-years,fairsmote,default,d2h2,4,0.142735958981988,0.152261518089498,0.157027134347512,0.166318485745567,0.185900146456713
compas-scores-two-years,none,default,d2h2,5,0.143132550701989,0.163798761738384,0.173513184126839,0.182193321381193,0.212404420463782
compas-scores-two-years,none,random,d2h3,1,0.154222282992959,0.176829927959184,0.181147836521246,0.185088320699266,0.198597595448498
compas-scores-two-years,none,de,d2h3,2,0.159559254095771,0.179727018021735,0.183842076045262,0.187884817292193,0.262220879544715
compas-scores-two-years,fairsmote,de,d2h3,3,0.174206951434351,0.191377439994434,0.195792163234989,0.20282200002416,0.229792931511169
compas-scores-two-years,fairsmote,random,d2h3,4,0.169458903295198,0.190453022924644,0.200888156983031,0.205250519634491,0.226820494468572
compas-scores-two-years,none,default,d2h3,5,0.202465715850326,0.218697845007445,0.224945724719619,0.231655890763613,0.248926001986354
compas-scores-two-years,fairsmote,default,d2h3,5,0.20825609898641,0.222094256639028,0.226463246965749,0.231599658456262,0.240513833868336
compas-scores-two-years,fairsmote,default,di-race,1,0.004170804369414,0.048696884840175,0.103724408305503,0.133323703596707,0.192949599197731
compas-scores-two-years,none,random,di-race,2,0.110809726553906,0.141906006223297,0.150679733132311,0.172677500651777,0.213334291109104
compas-scores-two-years,none,de,di-race,2,0.0,0.127353931273539,0.158014590141667,0.167753594719887,0.43641974370278
compas-scores-two-years,fairsmote,de,di-race,3,0.0,0.154573511064417,0.199978925184405,0.230519480519481,0.305818433270769
compas-scores-two-years,none,default,di-race,3,0.107669443466698,0.169654577871824,0.203901950058217,0.221843415296425,0.270158812159863
compas-scores-two-years,fairsmote,random,di-race,4,0.085671155430243,0.18437240880775,0.20744348694892,0.237588283811227,0.30870761594939
compas-scores-two-years,fairsmote,default,di-sex,1,0.001655734573012,0.054991001107942,0.095313678652251,0.141473363500153,0.216808071543224
compas-scores-two-years,none,de,di-sex,2,0.0,0.087994333608783,0.126453779270164,0.156709835800491,0.19957002001631
compas-scores-two-years,none,random,di-sex,3,0.065656565656566,0.119204409906762,0.130588931185519,0.144138420585626,0.196102197697043
compas-scores-two-years,fairsmote,de,di-sex,4,0.0,0.104586992641823,0.151429111329687,0.196149379076208,0.288235134548611
compas-scores-two-years,fairsmote,random,di-sex,5,0.002763605442177,0.148704488436321,0.18966502590196,0.21927121102248,0.3028125
compas-scores-two-years,none,default,di-sex,5,0.057112845138055,0.149185198523454,0.191509599259092,0.214091039899785,0.24944585277441
compas-scores-two-years,fairsmote,default,eod-race,1,0.001103752759382,0.016501650165017,0.036258340677326,0.058294500427104,0.098004624246555
compas-scores-two-years,fairsmote,de,eod-race,2,0.0,0.050420168067227,0.082962366226136,0.112913096695226,0.172192513368984
compas-scores-two-years,none,de,eod-race,2,0.0,0.065713420675988,0.085648452929559,0.108703206233377,0.305620906918278
compas-scores-two-years,none,random,eod-race,3,0.034214489410106,0.076717210438141,0.091545592915456,0.113791847412166,0.135428229869354
compas-scores-two-years,fairsmote,random,eod-race,4,0.004832283422172,0.070028387867922,0.09641663945339,0.125548592764034,0.179184279985615
compas-scores-two-years,none,default,eod-race,4,0.037616892911011,0.083194083002329,0.100478776159659,0.128742369420736,0.175260029230759
compas-scores-two-years,fairsmote,default,eod-sex,1,0.00236356258876,0.009469696969697,0.026265163521825,0.042197751380098,0.119437981027385
compas-scores-two-years,fairsmote,de,eod-sex,2,0.0,0.02585717184013,0.057354669247252,0.077236842105263,0.153360522022839
compas-scores-two-years,none,de,eod-sex,2,0.0,0.01827485380117,0.062009177909429,0.095815749304121,0.132071778140294
compas-scores-two-years,none,random,eod-sex,3,0.000760090441141,0.049812063719349,0.069042659179422,0.088450292397661,0.126808308685814
compas-scores-two-years,fairsmote,random,eod-sex,3,0.001872098247716,0.054356546854942,0.078314057788465,0.103191023056018,0.180309951060359
compas-scores-two-years,none,default,eod-sex,4,0.006859756097561,0.061600822105504,0.089078947368421,0.114674354465856,0.158228904048643
compas-scores-two-years,fairsmote,default,f1,5,0.645038167938931,0.664160401002506,0.669956816779765,0.675062972292191,0.695979899497487
compas-scores-two-years,fairsmote,de,f1,4,0.662125340599455,0.680823680823681,0.689119170984456,0.702020202020202,0.723573639982309
compas-scores-two-years,none,default,f1,3,0.669944683466503,0.687087087087087,0.692399049881235,0.702409638554217,0.723699421965318
compas-scores-two-years,fairsmote,random,f1,3,0.667112299465241,0.686842105263158,0.695543000627746,0.703751617076326,0.725015518311608
compas-scores-two-years,none,de,f1,2,0.692583732057416,0.713903743315508,0.723522853957637,0.732661529342027,0.750795334040297
compas-scores-two-years,none,random,f1,1,0.695269526952695,0.716919739696312,0.726691529035695,0.73728813559322,0.756897449245185
compas-scores-two-years,none,random,fr-race,1,0.0,0.0,0.0,0.0,0.014553014553015
compas-scores-two-years,none,de,fr-race,1,0.0,0.0,0.0,0.0,0.225918225918226
compas-scores-two-years,fairsmote,random,fr-race,2,0.033264033264033,0.057558945908461,0.074151074151074,0.090783090783091,0.128205128205128
compas-scores-two-years,fairsmote,de,fr-race,3,0.0,0.058905058905059,0.091476091476092,0.11373092926491,0.179611650485437
compas-scores-two-years,none,default,fr-race,4,0.217059639389736,0.243936243936244,0.257281553398058,0.266112266112266,0.291753291753292
