DS,PP,PT,accuracy,aod-age,aod-race,aod-sex,d2h1,d2h2,d2h3,di-age,di-race,di-sex,eod-age,eod-race,eod-sex,f1,fr-age,fr-race,fr-sex,precision,recall,spd-age,spd-race,spd-sex
heart,none,default,0.85,0.130274403958614,,,0.167073525732984,0.291260969673592,0.243998864815075,0.496957403651116,,,0.288888888888889,,,0.830188679245283,0.05,,,0.88,0.785714285714286,0.272525027808676,,
heart,none,random,0.8,0.029374718848403,,,0.225091575091575,0.117192083282806,0.173632687216321,0.236453201970443,,,0.022222222222222,,,0.769230769230769,0.0,,,0.833333333333333,0.714285714285714,0.10678531701891,,
heart,none,de,0.85,0.052496626180837,,,0.167073525732984,0.210640927546612,0.19249884668973,0.398706896551724,,,0.133333333333333,,,0.830188679245283,0.0,,,0.88,0.785714285714286,0.205784204671858,,
heart,fairsmote,default,0.85,0.130274403958614,,,0.167073525732984,0.291927801595001,0.244441190092344,0.496957403651116,,,0.288888888888889,,,0.830188679245283,0.066666666666667,,,0.88,0.785714285714286,0.272525027808676,,
heart,fairsmote,random,0.866666666666667,0.080274403958615,,,0.145711200793727,0.239786489436347,0.203419331193265,0.434077079107505,,,0.188888888888889,,,0.851851851851852,0.016666666666667,,,0.884615384615385,0.821428571428571,0.238042269187987,,
heart,fairsmote,de,0.866666666666667,0.080274403958615,,,0.145711200793727,0.239786489436347,0.203419331193265,0.434077079107505,,,0.188888888888889,,,0.851851851851852,0.016666666666667,,,0.884615384615385,0.821428571428571,0.238042269187987,,
heart,none,default,0.9,0.193333333333333,,,0.097590641983264,0.418594418280742,0.318713066477215,0.730769230769231,,,0.086666666666667,,,0.903225806451613,0.05,,,0.903225806451613,0.903225806451613,0.542857142857143,,
heart,none,random,0.883333333333333,0.173333333333333,,,0.115573502394478,0.403760329438292,0.310651815804464,0.72,,,0.046666666666667,,,0.885245901639344,0.0,,,0.9,0.870967741935484,0.514285714285714,,
heart,none,de,0.933333333333333,0.093333333333333,,,0.069719427113112,0.388298004290589,0.293128696564835,0.708333333333333,,,0.086666666666667,,,0.933333333333333,0.0,,,0.96551724137931,0.903225806451613,0.485714285714286,,
heart,fairsmote,default,0.916666666666667,0.033684210526316,,,0.08092381242931,0.337135790942295,0.257012183313427,0.608,,,0.08,,,0.920634920634921,0.05,,,0.90625,0.935483870967742,0.434285714285714,,
heart,fairsmote,random,0.883333333333333,0.167017543859649,,,0.112857249058709,0.386464463318234,0.297717416670322,0.676923076923077,,,0.086666666666667,,,0.888888888888889,0.016666666666667,,,0.875,0.903225806451613,0.502857142857143,,
heart,fairsmote,de,0.833333333333333,0.107017543859649,,,0.167363006647827,0.343371807046713,0.279197758139167,0.634782608695652,,,0.033333333333333,,,0.833333333333333,0.0,,,0.862068965517241,0.806451612903226,0.417142857142857,,
heart,none,default,0.813559322033898,0.114583333333333,,,0.196832445597436,0.172049564807302,0.183477915810468,0.302832244008715,,,0.083333333333333,,,0.8,0.101694915254237,,,0.814814814814815,0.785714285714286,0.16087962962963,,
heart,none,random,0.76271186440678,0.177083333333333,,,0.271714248311134,0.240171931749424,0.254673497932459,0.446913580246914,,,0.104166666666667,,,0.72,0.050847457627119,,,0.818181818181818,0.642857142857143,0.209490740740741,,
