DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Models built,Best params,accuracy,precision,recall,f1,aod-age,eod-age,spd-age,di-age,fr-age,d2h1 (accuracy+precision+recall+f1),d2h2 (aod+eod+spd+di+fr),d2h3 (accuracy+precision+recall+f1+aod+eod+spd+di+fr),aod-sex,eod-sex,spd-sex,di-sex,fr-sex,aod-race,eod-race,spd-race,di-race,fr-race
fairness/heart_processed.csv,2,none,minmax,none,rf,random search,d2h3,5.31936168670654,320,"{'la__n_estimators': 40, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.0031622776601683794, 'la__max_depth': 13, 'la__criterion': 'entropy'}",0.76271186440678,0.818181818181818,0.642857142857143,0.72,0.177083333333333,0.104166666666667,0.209490740740741,0.446913580246914,0.050847457627119,0.271714248311134,0.240171931749424,0.254673497932459,,,,,,,,,,
fairness/heart_processed.csv,2,none,minmax,none,rf,de,d2h3,16.0800356864929,550,"{'la__n_estimators': 151, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.04008268890488569, 'la__max_depth': 8}",0.847457627118644,0.952380952380952,0.714285714285714,0.816326530612245,0,0.0625,0.041666666666667,0.111111111111111,0,0.187686804037057,0.059980063560248,0.132871444036054,,,,,,,,,,
fairness/heart_processed.csv,2,fairsmote,minmax,none,rf,default,None,1.65069460868835,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.813559322033898,0.793103448275862,0.821428571428571,0.807017543859649,0.039583333333333,0.166666666666667,0.086805555555556,0.163398692810458,0.016949152542373,0.191504760381956,0.113018785265933,0.15295697365626,,,,,,,,,,
fairness/heart_processed.csv,2,fairsmote,minmax,none,rf,random search,d2h3,6.39891147613525,320,"{'la__n_estimators': 180, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.0001, 'la__max_depth': 13, 'la__criterion': 'entropy'}",0.847457627118644,0.851851851851852,0.821428571428571,0.836363636363636,0.022916666666667,0.166666666666667,0.024305555555556,0.051851851851852,0.016949152542373,0.161153392711861,0.079836833269017,0.122814794468155,,,,,,,,,,
fairness/heart_processed.csv,2,fairsmote,minmax,none,rf,de,d2h3,13.7791340351105,550,"{'la__n_estimators': 50, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 1e-05, 'la__max_depth': 19}",0.796610169491525,0.833333333333333,0.714285714285714,0.769230769230769,0.04375,0.208333333333333,0.001157407407407,0.002849002849003,0.050847457627119,0.225849668952099,0.097889489358214,0.16731342926016,,,,,,,,,,
fairness/heart_processed.csv,3,none,minmax,none,rf,default,None,1.66402769088745,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.830508474576271,0.818181818181818,0.75,0.782608695652174,0.313095238095238,0.476190476190476,0.468599033816425,0.843478260869565,0.050847457627119,0.207089478025913,0.501679597498802,0.398602600812302,,,,,,,,,,
fairness/heart_processed.csv,3,none,minmax,none,rf,random search,d2h3,5.45221614837647,320,"{'la__n_estimators': 40, 'la__min_samples_leaf': 20, 'la__min_impurity_decrease': 0.1, 'la__max_depth': 8, 'la__criterion': 'entropy'}",0.796610169491525,0.8,0.666666666666667,0.727272727272727,0.26547619047619,0.380952380952381,0.41304347826087,0.826086956521739,0,0.258291840538292,0.46230442328237,0.385210706913453,,,,,,,,,,
fairness/heart_processed.csv,3,none,minmax,none,rf,de,d2h3,14.8360166549683,550,"{'la__n_estimators': 34, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.12659629149838972, 'la__max_depth': 9}",0.76271186440678,0.727272727272727,0.666666666666667,0.695652173913043,0.141666666666667,0,0.397342995169082,0.752860411899314,0,0.289147252683442,0.385940332191282,0.3462777040657,,,,,,,,,,
fairness/heart_processed.csv,3,fairsmote,minmax,none,rf,default,None,1.6431896686554,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.796610169491525,0.772727272727273,0.708333333333333,0.739130434782609,0.322619047619048,0.428571428571429,0.468599033816425,0.843478260869565,0.016949152542373,0.248063847737535,0.493778173697363,0.403488553371567,,,,,,,,,,
fairness/heart_processed.csv,3,fairsmote,minmax,none,rf,random search,d2h3,5.37336206436157,320,"{'la__n_estimators': 120, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 1e-05, 'la__max_depth': 3, 'la__criterion': 'entropy'}",0.796610169491525,0.75,0.75,0.75,0.379761904761905,0.476190476190476,0.524154589371981,0.857707509881423,0,0.239200451062632,0.525619002698647,0.422984646837719,,,,,,,,,,
fairness/heart_processed.csv,3,fairsmote,minmax,none,rf,de,d2h3,11.3823339939117,550,"{'la__n_estimators': 84, 'la__min_samples_leaf': 20, 'la__min_impurity_decrease': 0.13942513168997459, 'la__max_depth': 13}",0.779661016949153,0.72,0.75,0.73469387755102,0.164285714285714,0.095238095238095,0.409420289855072,0.701863354037267,0,0.254870852619908,0.373174820208546,0.325940321437529,,,,,,,,,,
fairness/heart_processed.csv,4,none,minmax,none,rf,default,None,1.60433459281921,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.830508474576271,0.807692307692308,0.807692307692308,0.807692307692308,0.060144927536232,0.333333333333333,0.137647058823529,0.264705882352941,0.050847457627119,0.186865006590716,0.203140298474531,0.196073689966639,,,,,,,,,,
fairness/heart_processed.csv,4,none,minmax,none,rf,random search,d2h3,6.02302050590515,320,"{'la__n_estimators': 20, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 1e-05, 'la__max_depth': 5, 'la__criterion': 'entropy'}",0.796610169491525,0.791666666666667,0.730769230769231,0.76,0.030764163372859,0.151515151515152,0.196470588235294,0.377828054298643,0.016949152542373,0.231762490511642,0.202753682736081,0.216127711048571,,,,,,,,,,
fairness/heart_processed.csv,4,none,minmax,none,rf,de,d2h3,12.9136147499084,550,"{'la__n_estimators': 137, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 1e-05, 'la__max_depth': 13}",0.779661016949153,0.76,0.730769230769231,0.745098039215686,0.080764163372859,0.151515151515152,0.236470588235294,0.422268907563025,0.016949152542373,0.246784057509881,0.229780910604297,0.237488202877734,,,,,,,,,,
fairness/heart_processed.csv,4,fairsmote,minmax,none,rf,default,None,1.63773059844971,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.76271186440678,0.714285714285714,0.769230769230769,0.740740740740741,0.008168642951252,0.242424242424242,0.148235294117647,0.264705882352941,0.050847457627119,0.254169290894874,0.175193955697204,0.213924369891215,,,,,,,,,,
