ds,pp,pt,m,val,rank
adult,fairsmote,de,aod-race,0.0,1.0
adult,fairsmote,de,aod-race,0.020358296602057,1.0
adult,fairsmote,de,aod-race,0.034985133772695,1.0
adult,fairsmote,de,aod-race,0.064459192713345,1.0
adult,fairsmote,de,aod-race,0.057592835608427,1.0
adult,fairsmote,de,aod-race,0.016928430661372,1.0
adult,fairsmote,de,aod-race,0.029407224674418,1.0
adult,fairsmote,de,aod-race,0.0,1.0
adult,fairsmote,de,aod-race,0.037151552857883,1.0
adult,fairsmote,de,aod-race,0.027224714149751,1.0
adult,fairsmote,de,aod-race,0.034777349832855,1.0
adult,fairsmote,de,aod-race,0.014293417081558,1.0
adult,fairsmote,de,aod-race,0.029834654543987,1.0
adult,fairsmote,de,aod-race,0.053915395438164,1.0
adult,fairsmote,de,aod-race,0.036210217237488,1.0
adult,fairsmote,de,aod-race,0.012185648784646,1.0
adult,fairsmote,de,aod-race,0.078246068364548,1.0
adult,fairsmote,de,aod-race,0.025671662540778,1.0
adult,fairsmote,de,aod-race,0.053248531782276,1.0
adult,fairsmote,de,aod-sex,0.06166400524779,1.0
adult,fairsmote,de,aod-sex,0.060029797243705,1.0
adult,fairsmote,de,aod-sex,0.093310801913977,1.0
adult,fairsmote,de,aod-sex,0.062742511949191,1.0
adult,fairsmote,de,aod-sex,0.01293883861129,1.0
adult,fairsmote,de,aod-sex,0.042345819603228,1.0
adult,fairsmote,de,aod-sex,0.07549556495018,1.0
adult,fairsmote,de,aod-sex,0.075154572296716,1.0
adult,fairsmote,de,aod-sex,0.065833520896275,1.0
adult,fairsmote,de,aod-sex,0.081142784454226,1.0
adult,fairsmote,de,aod-sex,0.051804204145863,1.0
adult,fairsmote,de,aod-sex,0.047454257705779,1.0
adult,fairsmote,de,aod-sex,0.049192165488858,1.0
adult,fairsmote,de,aod-sex,0.052963570169768,1.0
adult,fairsmote,de,aod-sex,0.054243848704702,1.0
adult,fairsmote,de,aod-sex,0.049232529146041,1.0
adult,fairsmote,de,aod-sex,0.064341949192537,1.0
adult,fairsmote,de,aod-sex,0.076343186711054,1.0
adult,fairsmote,de,aod-sex,0.060128954068403,1.0
adult,fairsmote,de,aod-sex,0.04457378534458,1.0
adult,fairsmote,de,aod-sex,0.031704225237263,1.0
adult,fairsmote,de,aod-sex,0.08734149768179,1.0
adult,fairsmote,de,aod-sex,0.0,1.0
adult,fairsmote,de,aod-sex,0.018348458409496,1.0
adult,fairsmote,de,aod-sex,0.075212502401595,1.0
adult,fairsmote,de,aod-sex,0.09919770144138,1.0
adult,fairsmote,de,aod-sex,0.038035549785039,1.0
adult,fairsmote,de,aod-sex,0.074447450894495,1.0
adult,fairsmote,de,aod-sex,0.055243826113671,1.0
adult,fairsmote,de,aod-sex,0.047574333990212,1.0
adult,fairsmote,de,aod-sex,0.054723554298869,1.0
adult,fairsmote,de,aod-sex,0.0,1.0
adult,fairsmote,de,aod-sex,0.066290661794368,1.0
adult,fairsmote,de,aod-sex,0.03870280631501,1.0
adult,fairsmote,de,aod-sex,0.080265191501655,1.0
adult,fairsmote,de,aod-sex,0.07819187858701,1.0
adult,fairsmote,de,aod-sex,0.034110496000525,1.0
adult,fairsmote,de,aod-sex,0.058471194152405,1.0
adult,fairsmote,de,aod-sex,0.0,1.0
adult,fairsmote,de,aod-sex,0.076379310598954,1.0
adult,fairsmote,de,aod-sex,0.075016677738215,1.0
adult,fairsmote,de,aod-sex,0.034535929471961,1.0
adult,fairsmote,de,aod-sex,0.055156409724597,1.0
