DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",0.5180003643035889,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.4536333043661692,0.3731669479508917
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",1.1360008716583252,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.4384639203528449,0.38572509038716596
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",1.554997444152832,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.45199054937546024,0.38181062619286144
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",1.2649993896484375,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.4554870792104099,0.36110173856149547
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",2.0969958305358887,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.4527620588601158,0.37438062401911276
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",0.514000654220581,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.45416790448849353,0.36440667666609583
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",0.47500133514404297,"{'la__n_estimators': 40, 'la__min_samples_leaf': 16, 'la__min_impurity_decrease': 0.1963922087063057, 'la__max_depth': 16}",0.45634950805113206,0.3558686035910926
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",1.0560004711151123,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.45233537765751236,0.36869960458122064
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",1.1989965438842773,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4541332372068096,0.37442115892096667
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.4550058841705322,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4381361670227909,0.3865319684212396
