MO,Iteration,PT,Duration,obj1,obj2,obj3
pom3a,0,random search,0.0009996891021728516,0.0,1.0,0.0
pom3a,0,random search,0.019000768661499023,4.6651127605895715,0.060384255451255586,0.08536585365853655
pom3a,0,random search,0.003000020980834961,41.27346965122804,0.40132554180567537,0.0
pom3a,0,random search,0.005999565124511719,0.004407601716764692,0.14069836156333848,0.16666666666666663
pom3a,0,tpe,0.005999088287353516,0.0,1.0,0.0
pom3a,0,tpe,0.0009992122650146484,70.07443717523815,0.612110979283264,0.0
pom3a,0,tpe,0.0330042839050293,70.78147162012831,0.4690620382692663,0.03834808259587019
pom3a,0,tpe,0.004998207092285156,82.9716653977198,0.5068279623948995,0.0
pom3a,0,tpe,0.009998321533203125,131.61542849361706,0.45264214836612426,0.0
pom3a,0,tpe,0.0299985408782959,102.38718452252786,0.33775951966978035,0.24011299435028244
pom3a,0,tpe,0.055004119873046875,0.0034890596525129756,0.34406017897177954,0.5230224321133412
pom3a,0,tpe,0.0010018348693847656,16.617346739500015,0.0,0.5
pom3a,0,tpe,0.39099884033203125,2.1145731677215194,0.3993763978168967,0.4246700045516614
pom3a,0,tpe,0.013999462127685547,0.0016009238835200028,0.027967953030035186,0.53125
pom3a,0,tpe,0.029999971389770508,49.788563428129784,0.42726960389177215,0.316301703163017
pom3a,0,tpe,0.018999099731445312,114.32186505052671,0.4467294256869292,0.07843137254901966
pom3a,0,tpe,0.039998531341552734,93.21512893875008,0.4507713481586296,0.14182692307692313
pom3a,0,tpe,0.050000905990600586,103.94570925836656,0.30533321474250397,0.4917407878017789
pom3a,0,tpe,0.036000728607177734,49.00219415947064,0.445735538858822,0.15176715176715172
pom3a,0,tpe,0.01999807357788086,0.0033980717825442728,0.47496983568266715,0.0736434108527132
pom3a,0,tpe,0.02499866485595703,6.256595232558145,0.4684613981393243,0.0401785714285714
pom3a,0,tpe,0.005000114440917969,125.92593000000008,0.4942735670117918,0.0
pom3a,0,nsga-ii,0.0,0.0,1.0,0.0
pom3a,0,nsga-ii,0.0030002593994140625,0.019215559055088517,0.3469365234094701,0.10204081632653061
pom3a,0,nsga-ii,0.04099917411804199,9.5484628259496,0.12703130702738286,0.27121771217712176
pom3a,0,nsga-ii,0.001997709274291992,0.02181888037933641,0.04688276600590757,0.5254237288135593
pom3a,0,nsga-ii,0.06299948692321777,1.0343255892912677,0.24303491339954875,0.48888888888888893
