DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,5,none,log,none,rf,tpe,"['sa', 'sd']",1169.0245904922485,,3405.4202434738954,0.4612360084249108,0.37139072209006785,3405.4202434738954,1280.0,pareto front
effort/china.csv,5,none,log,none,rf,nsga-ii,"['sa', 'sd']",911.7912731170654,,3431.674187562133,0.4570824300996881,0.3654138890343801,3431.674187562133,1000.0,pareto front
effort/china.csv,5,none,log,none,rf,nsga-iii,"['sa', 'sd']",385.7240877151489,,3403.9038020850285,0.4614759212571733,0.36498984631920395,3403.9038020850285,1000.0,pareto front
effort/china.csv,5,none,log,none,rf,moead,"['sa', 'sd']",188.1637897491455,,3391.7147784377307,0.4634043196820685,0.37374036900061924,3391.7147784377307,500.0,pareto front
effort/china.csv,6,none,log,none,rf,default,None,2.788012981414795,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2684.5390419161677,0.4913110564106399,0.42270955684225586,2684.5390419161677,,
effort/china.csv,6,none,log,none,rf,random search,"['sa', 'sd']",69.16470718383789,,2504.9178595004123,0.5253471825770611,0.41362733467149376,2504.9178595004123,320.0,pareto front
effort/china.csv,6,none,log,none,rf,tpe,"['sa', 'sd']",569.5028305053711,,2506.405040730228,0.5250653790208795,0.4093042826216811,2506.405040730228,1280.0,pareto front
effort/china.csv,6,none,log,none,rf,nsga-ii,"['sa', 'sd']",379.6966121196747,,2505.0802859130417,0.5253164046598988,0.41340919018861955,2505.0802859130417,1000.0,pareto front
effort/china.csv,6,none,log,none,rf,nsga-iii,"['sa', 'sd']",201.03356194496155,,2484.3523784100134,0.5292441021922868,0.4152313794730268,2484.3523784100134,1000.0,pareto front
effort/china.csv,6,none,log,none,rf,moead,"['sa', 'sd']",158.75049448013306,,2517.0038088959695,0.5230570356526522,0.4287601588923326,2517.0038088959695,500.0,pareto front
effort/china.csv,7,none,log,none,rf,default,None,2.643030881881714,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2570.810692771084,0.4187842612956417,0.44666684813133295,2570.810692771084,,
effort/china.csv,7,none,log,none,rf,random search,"['sa', 'sd']",37.80287408828735,,2544.497813101144,0.4247331473173962,0.372234041627404,2544.497813101144,320.0,pareto front
effort/china.csv,7,none,log,none,rf,tpe,"['sa', 'sd']",1023.1727752685547,,2558.2325478252296,0.42162796185546597,0.3675414261342349,2558.2325478252296,1280.0,pareto front
effort/china.csv,7,none,log,none,rf,nsga-ii,"['sa', 'sd']",570.2680716514587,,2559.2230795556193,0.4214040197997528,0.3746255597049639,2559.2230795556193,1000.0,pareto front
effort/china.csv,7,none,log,none,rf,nsga-iii,"['sa', 'sd']",911.8027646541595,,2556.2451889549566,0.4220772692498628,0.3681648201038819,2556.2451889549566,1000.0,pareto front
effort/china.csv,7,none,log,none,rf,moead,"['sa', 'sd']",971.6304228305817,,2549.4273200468187,0.42361867123833874,0.39004652415181035,2549.4273200468187,500.0,pareto front
effort/china.csv,8,none,log,none,rf,default,None,2.8897194862365723,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2938.14186746988,0.41252266165103046,0.4691325998239848,2938.14186746988,,
effort/china.csv,8,none,log,none,rf,random search,"['sa', 'sd']",204.28621292114258,,2838.237073781563,0.4324984847840558,0.43223286057460264,2838.237073781563,320.0,pareto front
effort/china.csv,8,none,log,none,rf,tpe,"['sa', 'sd']",560.0262615680695,,2764.165982860012,0.4473088953448875,0.43143296151885846,2764.165982860012,1280.0,pareto front
effort/china.csv,8,none,log,none,rf,nsga-ii,"['sa', 'sd']",823.9832210540771,,2775.2020020857635,0.4451022588061639,0.4358681253001529,2775.2020020857635,1000.0,pareto front
effort/china.csv,8,none,log,none,rf,nsga-iii,"['sa', 'sd']",882.8790984153748,,2846.0901024949303,0.4309282827262225,0.45249568567481474,2846.0901024949303,1000.0,pareto front
effort/china.csv,8,none,log,none,rf,moead,"['sa', 'sd']",336.228711605072,,2865.6208189144345,0.4270231434185488,0.4458784156816544,2865.6208189144345,500.0,pareto front
effort/china.csv,9,none,log,none,rf,default,None,2.9509990215301514,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3478.0055988023955,0.34654802073598723,0.4285717251037462,3478.0055988023955,,
effort/china.csv,9,none,log,none,rf,random search,"['sa', 'sd']",78.02387475967407,,3135.5723723559227,0.4108847974405041,0.4013470786570032,3135.5723723559227,320.0,pareto front
effort/china.csv,9,none,log,none,rf,tpe,"['sa', 'sd']",588.7596838474274,,3157.6422230538924,0.4067382866857155,0.40419455476933985,3157.6422230538924,1280.0,pareto front
effort/china.csv,9,none,log,none,rf,nsga-ii,"['sa', 'sd']",250.11913299560547,,3149.163363950067,0.40833130518608923,0.3989137100325067,3149.163363950067,1000.0,pareto front
effort/china.csv,9,none,log,none,rf,nsga-iii,"['sa', 'sd']",221.9886875152588,,3157.08120487996,0.4068436914718048,0.40832430959149024,3157.08120487996,1000.0,pareto front
effort/china.csv,9,none,log,none,rf,moead,"['sa', 'sd']",87.46119356155396,,3190.547679640719,0.40055596893940376,0.4110023987190551,3190.547679640719,500.0,pareto front
effort/china.csv,10,none,log,none,rf,default,None,2.843998908996582,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2689.3958433734942,0.49125616746160883,0.502463091029183,2689.3958433734942,,
effort/china.csv,10,none,log,none,rf,random search,"['sa', 'sd']",22.576661586761475,,2641.5366922234393,0.5003095197370298,0.40036796827171117,2641.5366922234393,320.0,pareto front
effort/china.csv,10,none,log,none,rf,tpe,"['sa', 'sd']",756.3442423343658,,2585.165631095812,0.5109730409709854,0.456943210497638,2585.165631095812,1280.0,pareto front
effort/china.csv,10,none,log,none,rf,nsga-ii,"['sa', 'sd']",718.1646785736084,,2610.5876556819358,0.5061640433477099,0.4520432701803719,2610.5876556819358,1000.0,pareto front
effort/china.csv,10,none,log,none,rf,nsga-iii,"['sa', 'sd']",1059.2497205734253,,2626.6280074386477,0.5031297447530718,0.4492795657653741,2626.6280074386477,1000.0,pareto front
effort/china.csv,10,none,log,none,rf,moead,"['sa', 'sd']",223.46611213684082,,2588.762374497992,0.5102926572976072,0.4057024562661897,2588.762374497992,500.0,pareto front
effort/china.csv,11,none,log,none,rf,default,None,2.935192108154297,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2272.7738253012044,0.4426489094826892,0.44153990876404015,2272.7738253012044,,
effort/china.csv,11,none,log,none,rf,random search,"['sa', 'sd']",311.68332600593567,,2142.4773206002037,0.4746014505482624,0.4457255048937706,2142.4773206002037,320.0,pareto front
effort/china.csv,11,none,log,none,rf,tpe,"['sa', 'sd']",1664.0569179058075,,2146.3776576830737,0.4736449730042487,0.4379799549062719,2146.3776576830737,1280.0,pareto front
effort/china.csv,11,none,log,none,rf,nsga-ii,"['sa', 'sd']",2194.448714494705,,2162.1594512663196,0.4697748123371284,0.42993464736476444,2162.1594512663196,1000.0,pareto front
effort/china.csv,11,none,log,none,rf,nsga-iii,"['sa', 'sd']",1123.5418865680695,,2167.675999734018,0.4684219921532036,0.43094262626351365,2167.675999734018,1000.0,pareto front
effort/china.csv,11,none,log,none,rf,moead,"['sa', 'sd']",196.64615106582642,,2111.008862372567,0.48231844346450536,0.44783964651440833,2111.008862372567,500.0,pareto front
effort/china.csv,12,none,log,none,rf,default,None,2.87406849861145,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3211.109700598802,0.48109931646792015,0.4246238927809296,3211.109700598802,,
effort/china.csv,12,none,log,none,rf,random search,"['sa', 'sd']",74.26386952400208,,3114.889329192502,0.4966480896796011,0.40867528349279175,3114.889329192502,320.0,pareto front
effort/china.csv,12,none,log,none,rf,tpe,"['sa', 'sd']",1441.9930460453033,,3133.5090296977005,0.4936392309920552,0.40669951465867804,3133.5090296977005,1280.0,pareto front
effort/china.csv,12,none,log,none,rf,nsga-ii,"['sa', 'sd']",588.4324676990509,,3119.327445871131,0.4959309102641155,0.4076332994122098,3119.327445871131,1000.0,pareto front
effort/china.csv,12,none,log,none,rf,nsga-iii,"['sa', 'sd']",672.2687199115753,,3076.947783683998,0.5027792704034969,0.4144138460269348,3076.947783683998,1000.0,pareto front
effort/china.csv,12,none,log,none,rf,moead,"['sa', 'sd']",256.6844091415405,,3115.434144097951,0.4965600500754782,0.40903018852940415,3115.434144097951,500.0,pareto front
