DS,PT,mar,sa,sd,sdar
effort/china.csv,default,3274.706586826347,0.4550539834228295,0.4013487383333116,3274.706586826347
effort/china.csv,random,3089.896371467655,0.4858083695066503,0.3622325594361182,3089.896371467655
effort/china.csv,tpe,3149.261396581837,0.4759293977263634,0.3571416134958535,3149.261396581837
effort/china.csv,nsga-ii,3152.7517401179566,0.4753485674272014,0.3609025758917986,3152.7517401179566
effort/china.csv,nsga-iii,3167.55002910845,0.4728859746960026,0.3598886781421958,3167.55002910845
effort/china.csv,moead,3103.302411842981,0.483577461757542,0.3680820833160578,3103.302411842981
effort/china.csv,default,2752.735542168675,0.4988798639769615,0.501408077004246,2752.735542168675
effort/china.csv,random,2824.4359369383046,0.485827207436059,0.4273022109410177,2824.4359369383046
effort/china.csv,tpe,2795.423888962443,0.4911086887862496,0.4363896125350772,2795.423888962443
effort/china.csv,nsga-ii,2786.807299076061,0.4926772908658074,0.443000546818638,2786.807299076061
effort/china.csv,nsga-iii,2775.289026156484,0.4947741281405067,0.4399940183267963,2775.289026156484
effort/china.csv,moead,2813.3548770424163,0.4878444525209001,0.4279511102124163,2813.3548770424163
effort/china.csv,default,2359.991686746988,0.2409718078244834,0.3448410048979172,2359.991686746988
effort/china.csv,random,2080.296394569577,0.3309283162196688,0.3740386084966085,2080.296394569577
effort/china.csv,tpe,2014.3811495983937,0.3521281914176392,0.3548136121479806,2014.3811495983937
effort/china.csv,nsga-ii,2053.7742462717542,0.339458455706243,0.373201176056214,2053.7742462717542
effort/china.csv,nsga-iii,2054.127350512564,0.3393448891733368,0.3732837466131956,2054.127350512564
effort/china.csv,moead,2186.1863983862413,0.2968716292331108,0.3491463560879743,2186.1863983862413
effort/china.csv,default,2230.355119760479,0.453355940083981,0.4274437320599227,2230.355119760479
effort/china.csv,random,2096.2489015118804,0.4862244133391595,0.4108773477751898,2096.2489015118804
effort/china.csv,tpe,2113.665194610778,0.4819558046840089,0.4089667369515492,2113.665194610778
effort/china.csv,nsga-ii,2069.350826290966,0.4928169388578161,0.4079209660698208,2069.350826290966
effort/china.csv,nsga-iii,2056.7703594677823,0.4959003211402761,0.4096652874780043,2056.7703594677823
effort/china.csv,moead,2038.9211246562843,0.5002750407072657,0.4182984924702113,2038.9211246562843
effort/china.csv,default,2648.998885542168,0.3808256448532151,0.3871372457237551,2648.998885542168
effort/china.csv,random,2561.5123144511745,0.4012746686466631,0.3899291635558879,2561.5123144511745
