ds,pt,m,val,rank
effort/china.csv,moead,mar,2650.320540736708,
effort/china.csv,moead,mar,2827.8058188959453,
effort/china.csv,moead,mar,2327.531468496939,
effort/china.csv,moead,mar,2509.7236723796163,
effort/china.csv,moead,mar,2654.030007786248,
effort/china.csv,moead,mar,2636.612528615168,
effort/china.csv,moead,mar,3602.0878953909623,
effort/china.csv,moead,mar,2145.45699374588,
effort/china.csv,moead,mar,2017.7300209240325,
effort/china.csv,moead,mar,2683.139097837384,
effort/china.csv,moead,mar,2639.918767941649,
effort/china.csv,moead,mar,2553.3161432351453,
effort/china.csv,moead,sa,0.483577461757542,
effort/china.csv,moead,sa,0.4878444525209001,
effort/china.csv,moead,sa,0.2968716292331108,
effort/china.csv,moead,sa,0.5002750407072657,
effort/china.csv,moead,sa,0.415004028343652,
effort/china.csv,moead,sa,0.4634043196820685,
effort/china.csv,moead,sa,0.5230570356526522,
effort/china.csv,moead,sa,0.4236186712383387,
effort/china.csv,moead,sa,0.4270231434185488,
effort/china.csv,moead,sa,0.4005559689394037,
effort/china.csv,moead,sa,0.5102926572976072,
effort/china.csv,moead,sa,0.4823184434645053,
effort/china.csv,moead,sa,0.4965600500754782,
effort/china.csv,moead,sa,0.4027400438834752,
effort/china.csv,moead,sa,0.4376017724513821,
effort/china.csv,moead,sa,0.4576579711437682,
effort/china.csv,moead,sa,0.4815247641822174,
effort/china.csv,moead,sa,0.4889063963458307,
effort/china.csv,moead,sa,0.4606268556079347,
effort/china.csv,moead,sa,0.5080806359873598,
effort/china.csv,moead,sa,0.424190278830603,
effort/china.csv,moead,sa,0.3932507066840374,
effort/china.csv,moead,sa,0.498617873114688,
effort/china.csv,moead,sa,0.5002811606832283,
effort/china.csv,moead,sa,0.4665739883518977,
effort/china.csv,moead,sa,0.4779718243577409,
effort/china.csv,moead,sa,0.4606977780026747,
effort/china.csv,moead,sa,0.3632308104963739,
effort/china.csv,moead,sa,0.525194608752562,
effort/china.csv,moead,sa,0.4845157477220865,
effort/china.csv,moead,sd,0.3680820833160578,
effort/china.csv,moead,sd,0.4279511102124163,
effort/china.csv,moead,sd,0.3491463560879743,
effort/china.csv,moead,sd,0.4182984924702113,
effort/china.csv,moead,sd,0.4071820425287187,
effort/china.csv,moead,sd,0.3737403690006192,
effort/china.csv,moead,sd,0.4287601588923326,
effort/china.csv,moead,sd,0.3900465241518103,
effort/china.csv,moead,sd,0.4458784156816544,
effort/china.csv,moead,sd,0.4110023987190551,
