DS,PT,accuracy,aod-race,aod-sex,d2h1,d2h2,d2h3,di-race,di-sex,eod-race,eod-sex,f1,fr-race,fr-sex,precision,recall,spd-race,spd-sex
fairness/compas-scores-two-years_processed.csv,default,0.6203742203742204,0.0017167776519575,0.047382618104145,0.3478028325707626,0.1638274094083488,0.2318037103905388,0.0381313645887216,0.0988099320941078,0.0075205232972223,0.0128726981436115,0.6634721710283817,0.3592515592515592,0.3484407484407484,0.6564551422319475,0.6706408345752608,0.022292886620297,0.0611298768533526
fairness/compas-scores-two-years_processed.csv,random,0.558004158004158,0.0,0.0,0.3432210365053685,0.0,0.1834593609337886,0.0,0.0,0.0,0.0,0.7163063784360821,0.0,0.0,0.558004158004158,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,tpe,0.5,0.0,0.0,0.6265396775971591,0.2236067977499789,0.3997002449331714,0.5,0.5,0.0,0.0,0.358153189218041,0.0,0.0,0.279002079002079,0.5,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-ii,0.441995841995842,0.0,0.0,0.9098583186889496,0.4472135954999579,0.6159411289325541,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-iii,0.5,0.0,0.0,0.6265396775971591,0.2236067977499789,0.3997002449331714,0.5,0.5,0.0,0.0,0.358153189218041,0.0,0.0,0.279002079002079,0.5,0.0,0.0
fairness/compas-scores-two-years_processed.csv,moead,0.441995841995842,0.0,0.0,0.9098583186889496,0.4472135954999579,0.6159411289325541,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,default,0.6303534303534304,0.0619094879489561,0.0190950701659597,0.3409689762274834,0.1594609713863236,0.2266711565482932,0.1319517013414399,0.0097357911150712,0.0607039968709022,0.0543794304938123,0.6691477484183104,0.3218295218295218,0.3397089397089397,0.6490974729241877,0.6904761904761905,0.0832113402141037,0.0056516157039869
fairness/compas-scores-two-years_processed.csv,random,0.5,0.0,0.0,0.6320691560928294,0.2236067977499789,0.4027976126729088,0.5,0.5,0.0,0.0,0.3512274076072295,0.0,0.0,0.2706860706860707,0.5,0.0,0.0
fairness/compas-scores-two-years_processed.csv,tpe,0.4862092862092862,0.0,0.0,0.7238270359535787,0.2981423969999719,0.4734917416629431,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2341516050714863,0.0,0.0,0.1804573804573804,0.3333333333333333,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-ii,0.5413721413721414,0.0,0.0,0.356795516510582,0.0,0.1907152257028061,0.0,0.0,0.0,0.0,0.7024548152144591,0.0,0.0,0.5413721413721414,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-iii,0.5413721413721414,0.0,0.0,0.3567955165105819,0.0,0.1907152257028061,0.0,0.0,0.0,0.0,0.7024548152144591,0.0,0.0,0.5413721413721414,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,moead,0.5413721413721414,0.0,0.0,0.3567955165105819,0.0,0.1907152257028061,0.0,0.0,0.0,0.0,0.7024548152144591,0.0,0.0,0.5413721413721414,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,default,0.6318635607321131,0.0620028558540203,0.0002708704788803,0.3451521352017201,0.1369606526398053,0.2177977747250285,0.1220265107541633,0.040875372836258,0.0045165498936843,0.0299768724426259,0.6628571428571429,0.2795341098169717,0.2870216306156406,0.666156202143951,0.6595905989385898,0.0721760815488284,0.0229646888602838
fairness/compas-scores-two-years_processed.csv,random,0.5486688851913477,0.0,0.0,0.3508318514089039,0.0,0.1875275126199576,0.0,0.0,0.0,0.0,0.7085683588503895,0.0,0.0,0.5486688851913477,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,tpe,0.5,0.0,0.0,0.6296348669635872,0.2236067977499789,0.4014346596181215,0.5,0.5,0.0,0.0,0.3542841794251947,0.0,0.0,0.2743344425956738,0.5,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-ii,0.5486688851913477,0.0,0.0,0.3508318514089039,0.0,0.1875275126199576,0.0,0.0,0.0,0.0,0.7085683588503895,0.0,0.0,0.5486688851913477,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,nsga-iii,0.5486688851913477,0.0,0.0,0.3508318514089039,0.0,0.1875275126199576,0.0,0.0,0.0,0.0,0.7085683588503895,0.0,0.0,0.5486688851913477,1.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,moead,0.4513311148086522,0.0,0.0,0.9084378825182704,0.4472135954999579,0.6153418066162855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fairness/compas-scores-two-years_processed.csv,default,0.6228690228690229,0.0533208548698739,0.0201316912545638,0.3482327091083093,0.1536000025962862,0.2269351208019345,0.107753581423388,0.0738294261261015,0.0035775629386073,0.0101980230320034,0.6619455833022735,0.3413721413721414,0.3043659043659044,0.6500732064421669,0.6742596810933941,0.0658934278557238,0.0445792085719045
fairness/compas-scores-two-years_processed.csv,random,0.5,0.0,0.0,0.6299875883879151,0.2236067977499789,0.4016322085206572,0.5,0.5,0.0,0.0,0.3538420204191295,0.0,0.0,0.2738045738045738,0.5,0.0,0.0
fairness/compas-scores-two-years_processed.csv,tpe,0.4841302841302841,0.0,0.0,0.7227510624763746,0.2981423969999719,0.4728462637642167,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2358946802794196,0.0,0.0,0.1825363825363825,0.3333333333333333,0.0,0.0
