pt,m,val,rank
default,PRED25+,0.102409638554217,2.0
default,PRED25+,0.102409638554217,1.0
default,PRED25+,0.180722891566265,2.0
default,PRED25+,0.180722891566265,1.0
default,PRED25+,0.149700598802395,2.0
default,PRED25+,0.149700598802395,1.0
default,PRED25+,0.126506024096386,2.0
default,PRED25+,0.126506024096386,1.0
default,PRED25+,0.174698795180723,2.0
default,PRED25+,0.174698795180723,1.0
default,PRED25+,0.125748502994012,2.0
default,PRED25+,0.125748502994012,1.0
default,PRED25+,0.210843373493976,2.0
default,PRED25+,0.210843373493976,1.0
default,PRED25+,0.126506024096386,2.0
default,PRED25+,0.126506024096386,1.0
default,PRED25+,0.155688622754491,2.0
default,PRED25+,0.155688622754491,1.0
default,PRED25+,0.162650602409639,2.0
default,PRED25+,0.162650602409639,1.0
default,PRED25+,0.162650602409639,2.0
default,PRED25+,0.162650602409639,1.0
default,PRED25+,0.173652694610778,2.0
default,PRED25+,0.173652694610778,1.0
default,PRED25+,0.144578313253012,2.0
default,PRED25+,0.144578313253012,1.0
default,PRED25+,0.144578313253012,2.0
default,PRED25+,0.144578313253012,1.0
default,PRED25+,0.173652694610778,2.0
default,PRED25+,0.173652694610778,1.0
default,PRED25+,0.132530120481928,2.0
default,PRED25+,0.132530120481928,1.0
default,PRED25+,0.180722891566265,2.0
default,PRED25+,0.180722891566265,1.0
default,SA+,0.372828862499278,3.0
default,SA+,0.372828862499278,1.0
default,SA+,0.356111400242359,3.0
default,SA+,0.356111400242359,1.0
default,SA+,0.364974047808824,3.0
default,SA+,0.364974047808824,1.0
default,SA+,0.365553112178373,3.0
default,SA+,0.365553112178373,1.0
default,SA+,0.341589481429752,3.0
default,SA+,0.341589481429752,1.0
default,SA+,0.367714567890121,3.0
default,SA+,0.367714567890121,1.0
default,SA+,0.364560079685001,3.0
default,SA+,0.364560079685001,1.0
default,SA+,0.37594058333661,3.0
default,SA+,0.37594058333661,1.0
default,SA+,0.35428568698061,3.0
default,SA+,0.35428568698061,1.0
default,SA+,0.365915389151461,3.0
default,SA+,0.365915389151461,1.0
default,SA+,0.366544231347752,3.0
default,SA+,0.366544231347752,1.0
default,SA+,0.36249571166119,3.0
default,SA+,0.36249571166119,1.0
default,SA+,0.347434147549606,3.0
default,SA+,0.347434147549606,1.0
default,SA+,0.380585321090871,3.0
default,SA+,0.380585321090871,1.0
default,SA+,0.356278218696827,3.0
default,SA+,0.356278218696827,1.0
default,SA+,0.361700306347401,3.0
default,SA+,0.361700306347401,1.0
default,SA+,0.344628650682326,3.0
default,SA+,0.344628650682326,1.0
default,SA+,0.377891373551492,3.0
default,SA+,0.377891373551492,1.0
default,SA+,0.349542321066624,3.0
default,SA+,0.349542321066624,1.0
default,SA+,0.358394548339878,3.0
default,SA+,0.358394548339878,1.0
default,SA+,0.375705138164125,3.0
default,SA+,0.375705138164125,1.0
default,SD+,0.204544686670323,3.0
default,SD+,0.204544686670323,3.0
default,SD+,0.226368587078583,3.0
default,SD+,0.226368587078583,3.0
default,SD+,0.230472816179725,3.0
default,SD+,0.230472816179725,3.0
default,SD+,0.257140565629467,3.0
default,SD+,0.257140565629467,3.0
default,SD+,0.200483636872646,3.0
default,SD+,0.200483636872646,3.0
default,SD+,0.204209488877084,3.0
default,SD+,0.204209488877084,3.0
default,SD+,0.203031859513456,3.0
default,SD+,0.203031859513456,3.0
default,SD+,0.219813343469191,3.0
default,SD+,0.219813343469191,3.0
default,SD+,0.221153226945655,3.0
default,SD+,0.221153226945655,3.0
default,SD+,0.244000820419639,3.0
default,SD+,0.244000820419639,3.0
default,SD+,0.216808107796553,3.0
default,SD+,0.216808107796553,3.0
default,SD+,0.196062143155742,3.0
default,SD+,0.196062143155742,3.0
default,SD+,0.195316433376037,3.0
default,SD+,0.195316433376037,3.0
default,SD+,0.221588480309892,3.0
default,SD+,0.221588480309892,3.0
default,SD+,0.209513593845934,3.0
default,SD+,0.209513593845934,3.0
default,SD+,0.198627030104836,3.0
default,SD+,0.198627030104836,3.0
default,SD+,0.246574349784994,3.0
default,SD+,0.246574349784994,3.0
default,SD+,0.212900065445992,3.0
default,SD+,0.212900065445992,3.0
default,SD+,0.246040432552546,3.0
default,SD+,0.246040432552546,3.0
default,SD+,0.214265907856794,3.0
default,SD+,0.214265907856794,3.0
default,SD+,0.202446933894252,3.0
default,SD+,0.202446933894252,3.0
default,SDAR-,7349.12225616166,2.0
default,SDAR-,7349.12225616166,2.0
default,SDAR-,4755.22272079981,2.0
default,SDAR-,4755.22272079981,2.0
default,SDAR-,5674.33120155823,2.0
default,SDAR-,5674.33120155823,2.0
default,SDAR-,6204.29301586537,2.0
default,SDAR-,6204.29301586537,2.0
default,SDAR-,6326.06447890571,2.0
default,SDAR-,6326.06447890571,2.0
default,SDAR-,5537.05690844606,2.0
default,SDAR-,5537.05690844606,2.0
default,SDAR-,5436.30235472502,2.0
default,SDAR-,5436.30235472502,2.0
default,SDAR-,7729.99157062227,2.0
default,SDAR-,7729.99157062227,2.0
default,SDAR-,4456.07340082541,2.0
default,SDAR-,4456.07340082541,2.0
default,SDAR-,5964.31359933744,2.0
default,SDAR-,5964.31359933744,2.0
default,SDAR-,4840.86623978315,2.0
default,SDAR-,4840.86623978315,2.0
default,SDAR-,7056.9344427895,2.0
default,SDAR-,7056.9344427895,2.0
default,SDAR-,4092.99699582116,2.0
default,SDAR-,4092.99699582116,2.0
default,SDAR-,8164.59075341531,2.0
default,SDAR-,8164.59075341531,2.0
default,SDAR-,4955.89207919839,2.0
default,SDAR-,4955.89207919839,2.0
default,SDAR-,5662.13308735985,2.0
default,SDAR-,5662.13308735985,2.0
default,SDAR-,4191.91438207971,2.0
default,SDAR-,4191.91438207971,2.0
default,SDAR-,7694.58178328679,2.0
default,SDAR-,7694.58178328679,2.0
default,SDAR-,4478.17160369275,2.0
default,SDAR-,4478.17160369275,2.0
default,SDAR-,5294.96403118572,2.0
default,SDAR-,5294.96403118572,2.0
default,SDAR-,7781.02145185437,2.0
default,SDAR-,7781.02145185437,2.0
moead,Delta+,0.310687673110507,1.0
moead,Delta+,0.310687673110507,2.0
moead,Delta+,0.346522138374246,1.0
moead,Delta+,0.346522138374246,2.0
moead,Delta+,0.289264801215178,1.0
moead,Delta+,0.289264801215178,2.0
moead,Delta+,0.32258286603789,1.0
moead,Delta+,0.32258286603789,2.0
moead,Delta+,0.299161806842038,1.0
moead,Delta+,0.299161806842038,2.0
moead,Delta+,0.338874897920276,1.0
moead,Delta+,0.338874897920276,2.0
moead,Delta+,0.348264832994082,1.0
moead,Delta+,0.348264832994082,2.0
moead,Delta+,0.261050327883289,1.0
moead,Delta+,0.261050327883289,2.0
moead,Delta+,0.378650917570638,1.0
moead,Delta+,0.378650917570638,2.0
moead,Delta+,0.286285010700877,1.0
moead,Delta+,0.286285010700877,2.0
moead,Delta+,0.344808023427752,1.0
moead,Delta+,0.344808023427752,2.0
moead,Delta+,0.323833332621508,1.0
moead,Delta+,0.323833332621508,2.0
moead,Delta+,0.336814952059132,1.0
moead,Delta+,0.336814952059132,2.0
moead,Delta+,0.329666091364053,1.0
moead,Delta+,0.329666091364053,2.0
moead,Delta+,0.33516285372469,1.0
moead,Delta+,0.33516285372469,2.0
moead,Delta+,0.335465675897852,1.0
moead,Delta+,0.335465675897852,2.0
moead,Delta+,0.348512278862777,1.0
moead,Delta+,0.348512278862777,2.0
moead,Delta+,0.312075501773353,1.0
moead,Delta+,0.312075501773353,2.0
moead,Delta+,0.317470534572115,1.0
moead,Delta+,0.317470534572115,2.0
moead,Delta+,0.25640480515663,1.0
moead,Delta+,0.25640480515663,2.0
moead,Delta+,0.331670476486748,1.0
moead,Delta+,0.331670476486748,2.0
moead,Duration?,556.955674886703,
moead,Duration?,584.585673809052,
moead,Duration?,601.57191157341,
moead,Duration?,594.920206785202,
